Training PPO 1 with the following parameter dict:
{'total_steps': 8000000.0, 'num_envs': 32, 'num_steps': 256, 'num_levels': 200, 'num_epochs': 3, 'batch_size': 512, 'eps': 0.2, 'grad_eps': 0.5, 'value_coef': 0.5, 'entropy_coef': 0.01, 'c1': 0.5, 'c2': 0.01, 'num_actions': 15, 'in_channels': 3, 'feature_dim': 64, 'env_name': 'starpilot', 'use_background': False}
thistrained
Observation space: Box([[[0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]
  ...
  [0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]]

 [[0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]
  ...
  [0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]]

 [[0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]
  ...
  [0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]]], [[[1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]
  ...
  [1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]]

 [[1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]
  ...
  [1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]]

 [[1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]
  ...
  [1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]]], (3, 64, 64), float32)
Action space: 15
Step: 8192	Mean reward: 4.21875	 Loss: 0.21961775422096252
Step: 16384	Mean reward: 4.15625	 Loss: 0.0741269588470459
Step: 24576	Mean reward: 5.28125	 Loss: 0.07435108721256256
Step: 32768	Mean reward: 5.875	 Loss: 0.021951928734779358
Step: 40960	Mean reward: 6.84375	 Loss: 0.09022577106952667
Step: 49152	Mean reward: 5.90625	 Loss: 0.09870254248380661
Step: 57344	Mean reward: 5.1875	 Loss: -0.014490464702248573
Step: 65536	Mean reward: 6.6875	 Loss: 0.029832562431693077
Step: 73728	Mean reward: 7.71875	 Loss: 0.021475793793797493
Step: 81920	Mean reward: 8.59375	 Loss: 0.027759570628404617
Step: 90112	Mean reward: 7.21875	 Loss: 0.030530117452144623
Step: 98304	Mean reward: 6.8125	 Loss: 0.10289561748504639
Step: 106496	Mean reward: 7.125	 Loss: 0.059753917157649994
Step: 114688	Mean reward: 9.125	 Loss: 0.008365333080291748
Step: 122880	Mean reward: 9.375	 Loss: 0.1290414035320282
Step: 131072	Mean reward: 8.71875	 Loss: 0.01687506027519703
Step: 139264	Mean reward: 7.625	 Loss: 0.03835006803274155
Step: 147456	Mean reward: 8.8125	 Loss: 0.03899550437927246
Step: 155648	Mean reward: 10.09375	 Loss: 0.0014458131045103073
Step: 163840	Mean reward: 9.46875	 Loss: -0.030231337994337082
Step: 172032	Mean reward: 8.84375	 Loss: -0.01948441006243229
Step: 180224	Mean reward: 10.25	 Loss: -0.01997930370271206
Step: 188416	Mean reward: 8.9375	 Loss: -0.003847133368253708
Step: 196608	Mean reward: 10.59375	 Loss: 0.04998175799846649
Step: 204800	Mean reward: 10.34375	 Loss: -0.03604075312614441
Step: 212992	Mean reward: 8.09375	 Loss: 0.023738566786050797
Step: 221184	Mean reward: 10.375	 Loss: -0.014072569087147713
Step: 229376	Mean reward: 8.9375	 Loss: -0.06392058730125427
Step: 237568	Mean reward: 9.40625	 Loss: 0.007753027603030205
Step: 245760	Mean reward: 10.28125	 Loss: 0.07944850623607635
Step: 253952	Mean reward: 9.5	 Loss: 0.003740234300494194
Step: 262144	Mean reward: 8.3125	 Loss: 0.04483368247747421
Step: 270336	Mean reward: 9.84375	 Loss: -0.029648032039403915
Step: 278528	Mean reward: 9.71875	 Loss: -0.018911980092525482
Step: 286720	Mean reward: 10.0625	 Loss: 0.059166960418224335
Step: 294912	Mean reward: 10.59375	 Loss: 0.036867205053567886
Step: 303104	Mean reward: 10.65625	 Loss: 0.0005495361983776093
Step: 311296	Mean reward: 10.3125	 Loss: 0.002042710781097412
Step: 319488	Mean reward: 10.0	 Loss: 0.004533462226390839
Step: 327680	Mean reward: 9.0	 Loss: 0.04535970464348793
Step: 335872	Mean reward: 9.96875	 Loss: 0.06680859625339508
Step: 344064	Mean reward: 10.96875	 Loss: -0.0003821365535259247
Step: 352256	Mean reward: 10.78125	 Loss: 0.026032330468297005
Step: 360448	Mean reward: 10.5625	 Loss: -0.07562454044818878
Step: 368640	Mean reward: 10.40625	 Loss: 0.004748724400997162
Step: 376832	Mean reward: 10.125	 Loss: -0.00685359351336956
Step: 385024	Mean reward: 9.5625	 Loss: 0.01921037584543228
Step: 393216	Mean reward: 10.8125	 Loss: 0.006487542763352394
Step: 401408	Mean reward: 10.96875	 Loss: 0.02203872799873352
Step: 409600	Mean reward: 10.15625	 Loss: 0.04726140946149826
Step: 417792	Mean reward: 10.4375	 Loss: -0.005570275709033012
Step: 425984	Mean reward: 10.28125	 Loss: -0.028259169310331345
Step: 434176	Mean reward: 10.125	 Loss: 0.0169154554605484
Step: 442368	Mean reward: 10.90625	 Loss: 0.03546836972236633
Step: 450560	Mean reward: 10.6875	 Loss: 0.034004952758550644
Step: 458752	Mean reward: 11.21875	 Loss: -0.031586695462465286
Step: 466944	Mean reward: 10.125	 Loss: -0.05886121839284897
Step: 475136	Mean reward: 11.1875	 Loss: -0.0006585996598005295
Step: 483328	Mean reward: 9.71875	 Loss: 0.011699466034770012
Step: 491520	Mean reward: 10.375	 Loss: -0.004232058301568031
Step: 499712	Mean reward: 10.09375	 Loss: 0.023900698870420456
Step: 507904	Mean reward: 10.8125	 Loss: -0.06691111624240875
Step: 516096	Mean reward: 10.9375	 Loss: 0.05903344601392746
Step: 524288	Mean reward: 10.3125	 Loss: 0.042403530329465866
Step: 532480	Mean reward: 9.4375	 Loss: 0.028706271201372147
Step: 540672	Mean reward: 10.6875	 Loss: 0.035047151148319244
Step: 548864	Mean reward: 10.46875	 Loss: -0.019312597811222076
Step: 557056	Mean reward: 10.28125	 Loss: -0.05900752916932106
Step: 565248	Mean reward: 10.6875	 Loss: 0.06288783252239227
Step: 573440	Mean reward: 11.09375	 Loss: -0.030656665563583374
Step: 581632	Mean reward: 10.03125	 Loss: 0.049499642103910446
Step: 589824	Mean reward: 10.46875	 Loss: 0.01770579256117344
Step: 598016	Mean reward: 11.40625	 Loss: -0.021624138578772545
Step: 606208	Mean reward: 12.53125	 Loss: -0.023664692416787148
Step: 614400	Mean reward: 11.96875	 Loss: 0.026860153302550316
Step: 622592	Mean reward: 12.21875	 Loss: 0.008588790893554688
Step: 630784	Mean reward: 11.1875	 Loss: -0.021518191322684288
Step: 638976	Mean reward: 9.8125	 Loss: -0.0393315888941288
Step: 647168	Mean reward: 10.09375	 Loss: 0.03170550614595413
Step: 655360	Mean reward: 11.1875	 Loss: 0.007515404373407364
Step: 663552	Mean reward: 10.65625	 Loss: -0.037278253585100174
Step: 671744	Mean reward: 12.15625	 Loss: 0.007982920855283737
Step: 679936	Mean reward: 10.34375	 Loss: 0.008863160386681557
Step: 688128	Mean reward: 12.0625	 Loss: -0.04059890657663345
Step: 696320	Mean reward: 9.96875	 Loss: 0.034507229924201965
Step: 704512	Mean reward: 11.40625	 Loss: 0.025649648159742355
Step: 712704	Mean reward: 11.65625	 Loss: 0.007927469909191132
Step: 720896	Mean reward: 11.3125	 Loss: -0.021916750818490982
Step: 729088	Mean reward: 11.03125	 Loss: -0.019365891814231873
Step: 737280	Mean reward: 11.875	 Loss: -0.0239549670368433
Step: 745472	Mean reward: 11.5	 Loss: -0.061034876853227615
Step: 753664	Mean reward: 12.125	 Loss: -0.05530669167637825
Step: 761856	Mean reward: 11.125	 Loss: -0.0838087946176529
Step: 770048	Mean reward: 11.53125	 Loss: -0.07292528450489044
Step: 778240	Mean reward: 11.3125	 Loss: -0.08827072381973267
Step: 786432	Mean reward: 12.9375	 Loss: 0.04977960139513016
Step: 794624	Mean reward: 12.28125	 Loss: 0.02303372696042061
Step: 802816	Mean reward: 10.625	 Loss: -0.00045694783329963684
Step: 811008	Mean reward: 10.28125	 Loss: -0.06489435583353043
Step: 819200	Mean reward: 11.65625	 Loss: 0.034841977059841156
Step: 827392	Mean reward: 13.15625	 Loss: -0.021162252873182297
Step: 835584	Mean reward: 11.46875	 Loss: -0.024373892694711685
Step: 843776	Mean reward: 11.21875	 Loss: -0.007841842249035835
Step: 851968	Mean reward: 11.96875	 Loss: -0.002792865037918091
