Training PPO 2 with the following parameter dict:
{'total_steps': 8000000.0, 'num_envs': 32, 'num_steps': 256, 'num_levels': 200, 'num_epochs': 3, 'batch_size': 512, 'eps': 0.2, 'grad_eps': 0.5, 'value_coef': 0.5, 'entropy_coef': 0.01, 'c1': 0.5, 'c2': 0.01, 'num_actions': 15, 'in_channels': 3, 'feature_dim': 64, 'env_name': 'starpilot', 'use_background': False}
thisalsotrains
Observation space: Box([[[0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]
  ...
  [0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]]

 [[0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]
  ...
  [0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]]

 [[0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]
  ...
  [0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]]], [[[1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]
  ...
  [1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]]

 [[1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]
  ...
  [1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]]

 [[1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]
  ...
  [1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]]], (3, 64, 64), float32)
Action space: 15
Step: 8192	Mean reward: 4.21875	 Loss: 0.18120244145393372
Step: 16384	Mean reward: 4.25	 Loss: 0.08822815120220184
Step: 24576	Mean reward: 5.5	 Loss: 0.021366113796830177
Step: 32768	Mean reward: 6.46875	 Loss: 0.056222639977931976
Step: 40960	Mean reward: 5.71875	 Loss: 0.034329853951931
Step: 49152	Mean reward: 6.96875	 Loss: -0.008455010131001472
Step: 57344	Mean reward: 5.9375	 Loss: 0.03474758565425873
Step: 65536	Mean reward: 6.40625	 Loss: 0.0734541118144989
Step: 73728	Mean reward: 6.90625	 Loss: 0.01992850750684738
Step: 81920	Mean reward: 6.875	 Loss: 0.032954126596450806
Step: 90112	Mean reward: 7.15625	 Loss: 0.012944838032126427
Step: 98304	Mean reward: 6.375	 Loss: 0.04634462669491768
Step: 106496	Mean reward: 6.5625	 Loss: 0.04445056989789009
Step: 114688	Mean reward: 8.375	 Loss: 0.0012360922992229462
Step: 122880	Mean reward: 8.9375	 Loss: 0.046336106956005096
Step: 131072	Mean reward: 7.875	 Loss: 0.031917255371809006
Step: 139264	Mean reward: 9.03125	 Loss: 0.0012541469186544418
Step: 147456	Mean reward: 7.25	 Loss: 0.07216804474592209
Step: 155648	Mean reward: 7.96875	 Loss: -0.04694627970457077
Step: 163840	Mean reward: 8.875	 Loss: 0.02053208462893963
Step: 172032	Mean reward: 7.0625	 Loss: -0.03340570628643036
Step: 180224	Mean reward: 9.6875	 Loss: -0.05953206121921539
Step: 188416	Mean reward: 8.40625	 Loss: -0.05490274727344513
Step: 196608	Mean reward: 8.15625	 Loss: -0.030826929956674576
Step: 204800	Mean reward: 9.09375	 Loss: -0.03928239643573761
Step: 212992	Mean reward: 8.375	 Loss: 0.011721933260560036
Step: 221184	Mean reward: 8.625	 Loss: -0.05165264010429382
Step: 229376	Mean reward: 8.03125	 Loss: 0.015906641259789467
Step: 237568	Mean reward: 8.84375	 Loss: 0.04782378673553467
Step: 245760	Mean reward: 8.34375	 Loss: -0.06767737120389938
Step: 253952	Mean reward: 8.65625	 Loss: 0.05346004664897919
Step: 262144	Mean reward: 10.40625	 Loss: 0.07971227914094925
Step: 270336	Mean reward: 8.71875	 Loss: 0.0032801609486341476
Step: 278528	Mean reward: 9.21875	 Loss: -0.07724616676568985
