Training PPO 3 with the following parameter dict:
{'total_steps': 8000000.0, 'num_envs': 32, 'num_steps': 256, 'num_levels': 200, 'num_epochs': 3, 'batch_size': 512, 'eps': 0.2, 'grad_eps': 0.5, 'value_coef': 0.5, 'entropy_coef': 0.01, 'c1': 0.5, 'c2': 0.01, 'num_actions': 15, 'in_channels': 3, 'feature_dim': 64, 'env_name': 'starpilot', 'use_background': False}
thistrainsonourcode
Observation space: Box([[[0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]
  ...
  [0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]]

 [[0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]
  ...
  [0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]]

 [[0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]
  ...
  [0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]]], [[[1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]
  ...
  [1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]]

 [[1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]
  ...
  [1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]]

 [[1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]
  ...
  [1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]]], (3, 64, 64), float32)
Action space: 15
Step: 8192	Mean reward: 4.375	 Loss: 0.34799495339393616
Step: 16384	Mean reward: 4.09375	 Loss: 0.0627189353108406
Step: 24576	Mean reward: 5.90625	 Loss: 0.12268707156181335
Step: 32768	Mean reward: 6.0	 Loss: 0.10613448172807693
Step: 40960	Mean reward: 6.6875	 Loss: 0.08090640604496002
Step: 49152	Mean reward: 6.28125	 Loss: 0.04659627750515938
Step: 57344	Mean reward: 6.40625	 Loss: 0.15066102147102356
Step: 65536	Mean reward: 6.96875	 Loss: 0.10768914222717285
Step: 73728	Mean reward: 7.46875	 Loss: 0.09600522369146347
Step: 81920	Mean reward: 7.875	 Loss: 0.05169559270143509
Step: 90112	Mean reward: 6.53125	 Loss: -0.08418183773756027
Step: 98304	Mean reward: 7.1875	 Loss: 0.010347366333007812
Step: 106496	Mean reward: 7.25	 Loss: 0.11769703030586243
Step: 114688	Mean reward: 7.53125	 Loss: 0.08606382459402084
Step: 122880	Mean reward: 8.78125	 Loss: 0.034644488245248795
Step: 131072	Mean reward: 8.90625	 Loss: 0.12636709213256836
Step: 139264	Mean reward: 8.34375	 Loss: 0.12099320441484451
Step: 147456	Mean reward: 7.59375	 Loss: 0.03392237052321434
Step: 155648	Mean reward: 8.625	 Loss: 0.13895262777805328
Step: 163840	Mean reward: 8.75	 Loss: 0.02739822305738926
Step: 172032	Mean reward: 8.3125	 Loss: 0.044865451753139496
Step: 180224	Mean reward: 8.75	 Loss: 0.056399181485176086
Step: 188416	Mean reward: 8.40625	 Loss: -0.007700731977820396
Step: 196608	Mean reward: 10.8125	 Loss: 0.06896412372589111
Step: 204800	Mean reward: 8.21875	 Loss: 0.021546993404626846
Step: 212992	Mean reward: 9.34375	 Loss: 0.07415308058261871
Step: 221184	Mean reward: 8.9375	 Loss: 0.057094380259513855
Step: 229376	Mean reward: 9.0625	 Loss: 0.11795981228351593
Step: 237568	Mean reward: 8.5625	 Loss: 0.04644082486629486
Step: 245760	Mean reward: 9.40625	 Loss: 0.051985304802656174
Step: 253952	Mean reward: 8.3125	 Loss: 0.0057282522320747375
Step: 262144	Mean reward: 8.59375	 Loss: -0.011341940611600876
Step: 270336	Mean reward: 8.46875	 Loss: 0.06650674343109131
Step: 278528	Mean reward: 9.5	 Loss: -0.055070534348487854
