Training IMPALA 1 with the following parameter dict:
{'total_steps': 8000000.0, 'num_envs': 32, 'num_steps': 256, 'num_levels': 200, 'num_epochs': 3, 'batch_size': 512, 'eps': 0.2, 'grad_eps': 0.5, 'value_coef': 0.5, 'entropy_coef': 0.01, 'c1': 0.5, 'c2': 0.01, 'num_actions': 15, 'in_channels': 3, 'feature_dim': 64, 'env_name': 'starpilot', 'use_background': False}
thistrained
Observation space: Box([[[0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]
  ...
  [0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]]

 [[0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]
  ...
  [0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]]

 [[0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]
  ...
  [0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]]], [[[1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]
  ...
  [1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]]

 [[1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]
  ...
  [1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]]

 [[1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]
  ...
  [1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]]], (3, 64, 64), float32)
Action space: 15
Step: 8192	Mean reward: 3.96875	 Loss: 0.2557094693183899
Step: 16384	Mean reward: 5.28125	 Loss: 1.2035993337631226
Step: 24576	Mean reward: 5.53125	 Loss: 0.4506203532218933
Step: 32768	Mean reward: 6.0	 Loss: 0.3724099099636078
Step: 40960	Mean reward: 5.6875	 Loss: 0.26238179206848145
Step: 49152	Mean reward: 6.9375	 Loss: 0.22155259549617767
Step: 57344	Mean reward: 5.625	 Loss: 0.1737252026796341
Step: 65536	Mean reward: 6.59375	 Loss: 0.14277741312980652
Step: 73728	Mean reward: 7.5	 Loss: 0.10577599704265594
Step: 81920	Mean reward: 7.875	 Loss: 0.18586277961730957
Step: 90112	Mean reward: 7.15625	 Loss: 0.19533167779445648
Step: 98304	Mean reward: 6.59375	 Loss: 0.15312837064266205
Step: 106496	Mean reward: 6.96875	 Loss: -0.019358322024345398
Step: 114688	Mean reward: 7.21875	 Loss: 0.021195126697421074
Step: 122880	Mean reward: 8.09375	 Loss: 0.10220734775066376
Step: 131072	Mean reward: 7.9375	 Loss: 0.06656645238399506
Step: 139264	Mean reward: 6.5	 Loss: 0.021766632795333862
Step: 147456	Mean reward: 7.28125	 Loss: -0.030276894569396973
Step: 155648	Mean reward: 7.1875	 Loss: -0.053169719874858856
Step: 163840	Mean reward: 8.125	 Loss: -0.09467945992946625
Step: 172032	Mean reward: 8.59375	 Loss: -0.034636497497558594
Step: 180224	Mean reward: 8.4375	 Loss: -0.1017317995429039
Step: 188416	Mean reward: 8.375	 Loss: -0.02904815971851349
Step: 196608	Mean reward: 7.8125	 Loss: -0.04352729022502899
Step: 204800	Mean reward: 8.3125	 Loss: -0.08363426476716995
Step: 212992	Mean reward: 8.90625	 Loss: -0.12932950258255005
Step: 221184	Mean reward: 8.84375	 Loss: -0.06428249180316925
Step: 229376	Mean reward: 8.28125	 Loss: -0.11562548577785492
Step: 237568	Mean reward: 7.84375	 Loss: -0.06851021200418472
Step: 245760	Mean reward: 8.875	 Loss: -0.05387160927057266
Step: 253952	Mean reward: 7.78125	 Loss: -0.045915018767118454
Step: 262144	Mean reward: 7.96875	 Loss: -0.08323870599269867
Step: 270336	Mean reward: 9.1875	 Loss: -0.021653391420841217
Step: 278528	Mean reward: 8.625	 Loss: -0.14630800485610962
