Training IMPALA 2 with the following parameter dict:
{'total_steps': 8000000.0, 'num_envs': 32, 'num_steps': 256, 'num_levels': 200, 'num_epochs': 3, 'batch_size': 512, 'eps': 0.2, 'grad_eps': 0.5, 'value_coef': 0.5, 'entropy_coef': 0.01, 'c1': 0.5, 'c2': 0.01, 'num_actions': 15, 'in_channels': 3, 'feature_dim': 64, 'env_name': 'starpilot', 'use_background': False}
thisalsotrains
Observation space: Box([[[0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]
  ...
  [0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]]

 [[0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]
  ...
  [0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]]

 [[0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]
  ...
  [0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]]], [[[1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]
  ...
  [1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]]

 [[1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]
  ...
  [1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]]

 [[1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]
  ...
  [1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]]], (3, 64, 64), float32)
Action space: 15
Step: 8192	Mean reward: 3.96875	 Loss: 0.18177887797355652
Step: 16384	Mean reward: 4.25	 Loss: 0.04940775781869888
Step: 24576	Mean reward: 5.90625	 Loss: 0.02762463316321373
Step: 32768	Mean reward: 5.71875	 Loss: -0.01048135757446289
Step: 40960	Mean reward: 6.84375	 Loss: -0.08165056258440018
Step: 49152	Mean reward: 6.1875	 Loss: -0.03300415351986885
Step: 57344	Mean reward: 4.46875	 Loss: -0.0497584342956543
Step: 65536	Mean reward: 5.03125	 Loss: -0.08908721059560776
Step: 73728	Mean reward: 5.375	 Loss: -0.12898854911327362
Step: 81920	Mean reward: 6.9375	 Loss: -0.029570752754807472
Step: 90112	Mean reward: 6.125	 Loss: -0.10509561002254486
Step: 98304	Mean reward: 5.75	 Loss: -0.06461460888385773
Step: 106496	Mean reward: 5.875	 Loss: -0.062116533517837524
Step: 114688	Mean reward: 7.15625	 Loss: -0.10173718631267548
Step: 122880	Mean reward: 7.96875	 Loss: -0.06791757792234421
Step: 131072	Mean reward: 6.875	 Loss: -0.08551619946956635
Step: 139264	Mean reward: 7.75	 Loss: -0.15960770845413208
Step: 147456	Mean reward: 7.59375	 Loss: -0.10187797993421555
Step: 155648	Mean reward: 7.90625	 Loss: -0.14421728253364563
Step: 163840	Mean reward: 8.21875	 Loss: -0.13413271307945251
Step: 172032	Mean reward: 7.0	 Loss: -0.1004393994808197
Step: 180224	Mean reward: 7.875	 Loss: -0.1114204004406929
Step: 188416	Mean reward: 7.90625	 Loss: -0.02273036539554596
Step: 196608	Mean reward: 8.625	 Loss: -0.18041323125362396
Step: 204800	Mean reward: 7.0	 Loss: -0.07844945788383484
Step: 212992	Mean reward: 8.375	 Loss: -0.09212753921747208
Step: 221184	Mean reward: 8.3125	 Loss: -0.08870793133974075
Step: 229376	Mean reward: 6.53125	 Loss: -0.09702058136463165
Step: 237568	Mean reward: 8.3125	 Loss: -0.14356012642383575
Step: 245760	Mean reward: 7.625	 Loss: -0.17572499811649323
Step: 253952	Mean reward: 8.625	 Loss: -0.10287075489759445
Step: 262144	Mean reward: 8.0625	 Loss: -0.0598851814866066
Step: 270336	Mean reward: 8.71875	 Loss: -0.01803625375032425
Step: 278528	Mean reward: 8.5	 Loss: -0.08830223977565765
