Training IMPALA 1 with the following parameter dict:
{'total_steps': 8000000.0, 'num_envs': 32, 'num_steps': 256, 'num_levels': 200, 'num_epochs': 3, 'batch_size': 512, 'eps': 0.2, 'grad_eps': 0.5, 'value_coef': 0.5, 'entropy_coef': 0.01, 'c1': 0.5, 'c2': 0.01, 'num_actions': 15, 'in_channels': 3, 'feature_dim': 64, 'env_name': 'starpilot', 'use_background': False}
non stabelized  impala
Observation space: Box([[[0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]
  ...
  [0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]]

 [[0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]
  ...
  [0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]]

 [[0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]
  ...
  [0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]]], [[[1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]
  ...
  [1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]]

 [[1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]
  ...
  [1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]]

 [[1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]
  ...
  [1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]]], (3, 64, 64), float32)
Action space: 15
Step: 8192	Mean reward: 4.09375	 Loss: 0.2220950871706009
Step: 16384	Mean reward: 4.125	 Loss: 0.013692384585738182
Step: 24576	Mean reward: 5.1875	 Loss: 0.019598452374339104
Step: 32768	Mean reward: 5.1875	 Loss: 0.034833114594221115
Step: 40960	Mean reward: 6.375	 Loss: -0.008306682109832764
Step: 49152	Mean reward: 7.0625	 Loss: -0.01680581271648407
Step: 57344	Mean reward: 5.6875	 Loss: 0.05246059596538544
Step: 65536	Mean reward: 5.96875	 Loss: 0.04570472240447998
Step: 73728	Mean reward: 7.25	 Loss: 0.09396769851446152
Step: 81920	Mean reward: 7.4375	 Loss: 0.12222564220428467
Step: 90112	Mean reward: 7.9375	 Loss: 0.08867327123880386
Step: 98304	Mean reward: 6.6875	 Loss: 0.07100532203912735
Step: 106496	Mean reward: 6.09375	 Loss: 0.01909474842250347
Step: 114688	Mean reward: 7.9375	 Loss: 0.03396788239479065
Step: 122880	Mean reward: 8.46875	 Loss: 0.09670686721801758
Step: 131072	Mean reward: 7.84375	 Loss: 0.01835952140390873
Step: 139264	Mean reward: 8.0	 Loss: 0.07434910535812378
Step: 147456	Mean reward: 7.9375	 Loss: 0.02391950972378254
Step: 155648	Mean reward: 7.96875	 Loss: -0.09431172162294388
Step: 163840	Mean reward: 8.5	 Loss: 0.05630795657634735
Step: 172032	Mean reward: 9.0625	 Loss: -0.029593799263238907
Step: 180224	Mean reward: 8.96875	 Loss: -0.02399669587612152
Step: 188416	Mean reward: 9.25	 Loss: 0.044467806816101074
Step: 196608	Mean reward: 7.5	 Loss: 0.020112236961722374
Step: 204800	Mean reward: 7.5	 Loss: -0.00957590900361538
Step: 212992	Mean reward: 7.84375	 Loss: -0.026497118175029755
Step: 221184	Mean reward: 7.78125	 Loss: -0.04917114973068237
Step: 229376	Mean reward: 9.25	 Loss: -0.105179063975811
Step: 237568	Mean reward: 6.6875	 Loss: -0.08072787523269653
Step: 245760	Mean reward: 7.65625	 Loss: -0.06526672840118408
Step: 253952	Mean reward: 7.46875	 Loss: -0.023438191041350365
Step: 262144	Mean reward: 8.03125	 Loss: -0.02707746997475624
Step: 270336	Mean reward: 7.40625	 Loss: -0.06919993460178375
Step: 278528	Mean reward: 7.75	 Loss: -0.017287394031882286
