Training PPO 1 with the following parameter dict:
{'total_steps': 8000000.0, 'num_envs': 32, 'num_steps': 256, 'num_levels': 200, 'num_epochs': 3, 'batch_size': 512, 'eps': 0.2, 'grad_eps': 0.5, 'value_coef': 0.5, 'entropy_coef': 0.01, 'c1': 0.5, 'c2': 0.01, 'num_actions': 15, 'in_channels': 3, 'feature_dim': 64, 'env_name': 'starpilot', 'use_background': False}
non stabelized  ppo
Observation space: Box([[[0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]
  ...
  [0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]]

 [[0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]
  ...
  [0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]]

 [[0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]
  ...
  [0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]]], [[[1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]
  ...
  [1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]]

 [[1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]
  ...
  [1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]]

 [[1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]
  ...
  [1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]]], (3, 64, 64), float32)
Action space: 15
Step: 8192	Mean reward: 4.375	 Loss: 0.3423101305961609
Step: 16384	Mean reward: 4.09375	 Loss: 0.06204352155327797
Step: 24576	Mean reward: 5.375	 Loss: 0.13542185723781586
Step: 32768	Mean reward: 5.40625	 Loss: 0.059995926916599274
Step: 40960	Mean reward: 6.21875	 Loss: 0.05602885037660599
Step: 49152	Mean reward: 6.15625	 Loss: 0.05065622180700302
Step: 57344	Mean reward: 6.8125	 Loss: 0.09236928075551987
Step: 65536	Mean reward: 6.375	 Loss: 0.12077083438634872
Step: 73728	Mean reward: 6.90625	 Loss: 0.10155564546585083
Step: 81920	Mean reward: 7.1875	 Loss: 0.0308449175208807
Step: 90112	Mean reward: 7.9375	 Loss: 0.1198129951953888
Step: 98304	Mean reward: 7.25	 Loss: 0.09108821302652359
Step: 106496	Mean reward: 7.15625	 Loss: 0.08315856009721756
Step: 114688	Mean reward: 7.8125	 Loss: 0.0382351353764534
Step: 122880	Mean reward: 8.5625	 Loss: 0.12453337013721466
Step: 131072	Mean reward: 10.15625	 Loss: 0.1214558482170105
Step: 139264	Mean reward: 8.03125	 Loss: 0.10953828692436218
Step: 147456	Mean reward: 9.3125	 Loss: 0.05281060189008713
Step: 155648	Mean reward: 10.78125	 Loss: 0.12535269558429718
Step: 163840	Mean reward: 11.40625	 Loss: 0.16464510560035706
Step: 172032	Mean reward: 10.90625	 Loss: 0.12068352103233337
Step: 180224	Mean reward: 10.96875	 Loss: 0.055950380861759186
Step: 188416	Mean reward: 9.5625	 Loss: 0.06348598003387451
Step: 196608	Mean reward: 10.5	 Loss: 0.06196630373597145
Step: 204800	Mean reward: 9.0	 Loss: 0.10188116133213043
Step: 212992	Mean reward: 10.21875	 Loss: 0.04247394949197769
Step: 221184	Mean reward: 9.53125	 Loss: 0.15003837645053864
Step: 229376	Mean reward: 9.40625	 Loss: 0.052793920040130615
Step: 237568	Mean reward: 9.84375	 Loss: 0.008611882105469704
Step: 245760	Mean reward: 9.0	 Loss: 0.11051607131958008
Step: 253952	Mean reward: 9.8125	 Loss: 0.033936284482479095
Step: 262144	Mean reward: 8.96875	 Loss: 0.05893724411725998
Step: 270336	Mean reward: 9.125	 Loss: 0.013613766059279442
Step: 278528	Mean reward: 10.15625	 Loss: 0.023584790527820587
Step: 286720	Mean reward: 10.46875	 Loss: 0.11598430573940277
Step: 294912	Mean reward: 10.5	 Loss: 0.07523812353610992
Step: 303104	Mean reward: 9.96875	 Loss: 0.04992425814270973
Step: 311296	Mean reward: 8.96875	 Loss: 0.008715061470866203
Step: 319488	Mean reward: 10.5625	 Loss: 0.0727653056383133
Step: 327680	Mean reward: 10.53125	 Loss: 0.02919085882604122
Step: 335872	Mean reward: 11.125	 Loss: 0.11079500615596771
Step: 344064	Mean reward: 11.25	 Loss: 0.05681560933589935
Step: 352256	Mean reward: 10.78125	 Loss: 0.0428791381418705
Step: 360448	Mean reward: 10.90625	 Loss: 0.047021787613630295
Step: 368640	Mean reward: 10.28125	 Loss: 0.018459176644682884
Step: 376832	Mean reward: 11.625	 Loss: 0.09499095380306244
Step: 385024	Mean reward: 10.75	 Loss: 0.0026446636766195297
Step: 393216	Mean reward: 10.09375	 Loss: -0.008938288316130638
Step: 401408	Mean reward: 10.6875	 Loss: 0.05429200828075409
Step: 409600	Mean reward: 12.0	 Loss: 0.035061854869127274
Step: 417792	Mean reward: 11.6875	 Loss: -0.014716235920786858
Step: 425984	Mean reward: 11.0	 Loss: 0.10620776563882828
Step: 434176	Mean reward: 10.84375	 Loss: 0.03169804811477661
Step: 442368	Mean reward: 11.96875	 Loss: 0.0532555878162384
Step: 450560	Mean reward: 11.1875	 Loss: -0.013014139607548714
Step: 458752	Mean reward: 10.90625	 Loss: -0.021853750571608543
Step: 466944	Mean reward: 12.28125	 Loss: 0.014870848506689072
Step: 475136	Mean reward: 11.6875	 Loss: 0.05359271913766861
Step: 483328	Mean reward: 13.40625	 Loss: 0.018797267228364944
Step: 491520	Mean reward: 12.3125	 Loss: -0.016634229570627213
Step: 499712	Mean reward: 11.71875	 Loss: 0.06218130141496658
Step: 507904	Mean reward: 12.15625	 Loss: -0.024761753156781197
Step: 516096	Mean reward: 11.6875	 Loss: 0.06359735131263733
Step: 524288	Mean reward: 10.34375	 Loss: -0.004302008077502251
Step: 532480	Mean reward: 12.0625	 Loss: -0.022527623921632767
Step: 540672	Mean reward: 12.4375	 Loss: 0.046285923570394516
Step: 548864	Mean reward: 12.625	 Loss: 0.011992335319519043
Step: 557056	Mean reward: 12.375	 Loss: 0.03925863280892372
Step: 565248	Mean reward: 11.59375	 Loss: 0.013945681974291801
Step: 573440	Mean reward: 11.84375	 Loss: -0.024091307073831558
Step: 581632	Mean reward: 12.75	 Loss: 0.03395145758986473
Step: 589824	Mean reward: 12.65625	 Loss: 0.023444710299372673
Step: 598016	Mean reward: 11.65625	 Loss: 0.01912427321076393
Step: 606208	Mean reward: 12.96875	 Loss: 0.017511218786239624
Step: 614400	Mean reward: 12.84375	 Loss: -0.026955146342515945
Step: 622592	Mean reward: 13.53125	 Loss: 0.07659311592578888
Step: 630784	Mean reward: 12.40625	 Loss: 0.06151368468999863
Step: 638976	Mean reward: 12.75	 Loss: -0.06888740509748459
Step: 647168	Mean reward: 12.8125	 Loss: 0.05153852701187134
Step: 655360	Mean reward: 14.0625	 Loss: -0.011727660894393921
Step: 663552	Mean reward: 12.25	 Loss: 0.11515089869499207
Step: 671744	Mean reward: 14.0625	 Loss: 0.029552198946475983
Step: 679936	Mean reward: 13.65625	 Loss: 0.014285741373896599
Step: 688128	Mean reward: 13.5	 Loss: 0.03620563820004463
Step: 696320	Mean reward: 12.96875	 Loss: 0.07016745209693909
Step: 704512	Mean reward: 14.84375	 Loss: 0.11835795640945435
Step: 712704	Mean reward: 13.375	 Loss: -0.05159158259630203
Step: 720896	Mean reward: 13.875	 Loss: 0.08175861835479736
Step: 729088	Mean reward: 13.59375	 Loss: 0.04128345847129822
Step: 737280	Mean reward: 13.0625	 Loss: 0.07715052366256714
Step: 745472	Mean reward: 14.75	 Loss: 0.05685761198401451
Step: 753664	Mean reward: 14.0625	 Loss: 0.05740225687623024
Step: 761856	Mean reward: 13.84375	 Loss: -0.028446583077311516
Step: 770048	Mean reward: 14.65625	 Loss: 0.009678823873400688
Step: 778240	Mean reward: 14.875	 Loss: 0.03597072884440422
Step: 786432	Mean reward: 14.96875	 Loss: 0.1332572102546692
Step: 794624	Mean reward: 14.34375	 Loss: -0.02731713466346264
Step: 802816	Mean reward: 13.6875	 Loss: 0.07947055995464325
Step: 811008	Mean reward: 12.90625	 Loss: 0.04993826150894165
Step: 819200	Mean reward: 13.625	 Loss: 0.03815355896949768
Step: 827392	Mean reward: 15.625	 Loss: 0.05068077892065048
Step: 835584	Mean reward: 15.8125	 Loss: 0.11028629541397095
Step: 843776	Mean reward: 13.84375	 Loss: 0.009662486612796783
Step: 851968	Mean reward: 14.625	 Loss: 0.1037571057677269
Step: 860160	Mean reward: 14.5	 Loss: -0.06329730898141861
Step: 868352	Mean reward: 15.5	 Loss: 0.04409153014421463
Step: 876544	Mean reward: 15.875	 Loss: 0.057061340659856796
Step: 884736	Mean reward: 14.6875	 Loss: -0.021496495231986046
Step: 892928	Mean reward: 14.90625	 Loss: 0.07255993038415909
Step: 901120	Mean reward: 14.15625	 Loss: 0.041617341339588165
Step: 909312	Mean reward: 15.15625	 Loss: 0.08512043207883835
Step: 917504	Mean reward: 15.5	 Loss: -0.0018977317959070206
Step: 925696	Mean reward: 14.53125	 Loss: 0.005573678761720657
Step: 933888	Mean reward: 13.71875	 Loss: 0.11353040486574173
Step: 942080	Mean reward: 14.9375	 Loss: -0.008868848904967308
Step: 950272	Mean reward: 14.375	 Loss: 0.06744959205389023
Step: 958464	Mean reward: 15.75	 Loss: 0.10201431810855865
Step: 966656	Mean reward: 15.5	 Loss: 0.08028697967529297
Step: 974848	Mean reward: 15.46875	 Loss: 0.012214025482535362
Step: 983040	Mean reward: 15.03125	 Loss: 0.04109157249331474
Step: 991232	Mean reward: 13.90625	 Loss: -0.01477590762078762
Step: 999424	Mean reward: 15.78125	 Loss: 0.03392120823264122
Step: 1007616	Mean reward: 13.71875	 Loss: 0.0032046809792518616
Step: 1015808	Mean reward: 15.9375	 Loss: 0.07919060438871384
Step: 1024000	Mean reward: 15.875	 Loss: 0.0674690306186676
Step: 1032192	Mean reward: 14.15625	 Loss: -0.03252772241830826
Step: 1040384	Mean reward: 15.84375	 Loss: 0.059262946248054504
Step: 1048576	Mean reward: 15.875	 Loss: 0.049718599766492844
Step: 1056768	Mean reward: 14.625	 Loss: 0.05187541991472244
Step: 1064960	Mean reward: 15.84375	 Loss: -0.0032307058572769165
Step: 1073152	Mean reward: 16.3125	 Loss: -0.007702045142650604
Step: 1081344	Mean reward: 15.96875	 Loss: -0.013381656259298325
Step: 1089536	Mean reward: 16.84375	 Loss: 0.07317725569009781
Step: 1097728	Mean reward: 17.71875	 Loss: 0.04027685523033142
Step: 1105920	Mean reward: 17.375	 Loss: 0.03839372098445892
Step: 1114112	Mean reward: 17.1875	 Loss: -0.008818859234452248
Step: 1122304	Mean reward: 15.96875	 Loss: 0.007473953068256378
Step: 1130496	Mean reward: 13.875	 Loss: 0.00906149297952652
Step: 1138688	Mean reward: 14.75	 Loss: -0.03515228256583214
Step: 1146880	Mean reward: 15.34375	 Loss: 0.0517200231552124
Step: 1155072	Mean reward: 16.15625	 Loss: 0.04273626208305359
Step: 1163264	Mean reward: 15.53125	 Loss: -0.028388364240527153
Step: 1171456	Mean reward: 16.90625	 Loss: 0.1152656078338623
Step: 1179648	Mean reward: 16.15625	 Loss: 0.041660405695438385
Step: 1187840	Mean reward: 14.9375	 Loss: 0.09197963774204254
Step: 1196032	Mean reward: 16.59375	 Loss: 0.07586979866027832
Step: 1204224	Mean reward: 17.1875	 Loss: 0.035956598818302155
Step: 1212416	Mean reward: 15.96875	 Loss: -0.03300919756293297
Step: 1220608	Mean reward: 16.65625	 Loss: -0.01004832610487938
Step: 1228800	Mean reward: 17.375	 Loss: 0.052756354212760925
Step: 1236992	Mean reward: 16.78125	 Loss: -0.008439768105745316
Step: 1245184	Mean reward: 17.28125	 Loss: 0.032996147871017456
Step: 1253376	Mean reward: 17.0	 Loss: 0.10185067355632782
Step: 1261568	Mean reward: 16.375	 Loss: 0.06314866244792938
Step: 1269760	Mean reward: 16.03125	 Loss: 0.054887402802705765
Step: 1277952	Mean reward: 16.5	 Loss: 0.05160319060087204
Step: 1286144	Mean reward: 16.46875	 Loss: -0.00018231384456157684
Step: 1294336	Mean reward: 15.625	 Loss: -0.06301917135715485
Step: 1302528	Mean reward: 16.84375	 Loss: 0.04252461716532707
Step: 1310720	Mean reward: 16.0	 Loss: 0.038717105984687805
Step: 1318912	Mean reward: 17.4375	 Loss: 0.14338412880897522
Step: 1327104	Mean reward: 15.78125	 Loss: 0.05701941251754761
Step: 1335296	Mean reward: 17.96875	 Loss: 0.03365243971347809
Step: 1343488	Mean reward: 16.625	 Loss: 0.017827145755290985
Step: 1351680	Mean reward: 16.59375	 Loss: -0.02200218103826046
Step: 1359872	Mean reward: 17.3125	 Loss: -0.00859827920794487
Step: 1368064	Mean reward: 17.25	 Loss: 0.02048107236623764
Step: 1376256	Mean reward: 17.4375	 Loss: 0.03536047413945198
Step: 1384448	Mean reward: 17.4375	 Loss: 0.07296538352966309
Step: 1392640	Mean reward: 16.21875	 Loss: -0.01665428839623928
Step: 1400832	Mean reward: 17.0	 Loss: 0.047946758568286896
Step: 1409024	Mean reward: 16.625	 Loss: 0.08155316859483719
Step: 1417216	Mean reward: 18.96875	 Loss: 0.06216927617788315
Step: 1425408	Mean reward: 17.03125	 Loss: 0.022446513175964355
Step: 1433600	Mean reward: 16.75	 Loss: 0.03800269216299057
Step: 1441792	Mean reward: 16.03125	 Loss: 0.009592399001121521
Step: 1449984	Mean reward: 15.78125	 Loss: -0.0019286740571260452
Step: 1458176	Mean reward: 16.875	 Loss: 0.08314412087202072
Step: 1466368	Mean reward: 16.96875	 Loss: 0.005712199956178665
Step: 1474560	Mean reward: 16.125	 Loss: -0.04102214425802231
Step: 1482752	Mean reward: 18.15625	 Loss: 0.030104011297225952
Step: 1490944	Mean reward: 17.03125	 Loss: 0.0695570856332779
Step: 1499136	Mean reward: 16.53125	 Loss: 0.06238073110580444
Step: 1507328	Mean reward: 16.65625	 Loss: 0.08983579277992249
Step: 1515520	Mean reward: 16.28125	 Loss: -0.026979468762874603
Step: 1523712	Mean reward: 17.28125	 Loss: 0.0404890701174736
Step: 1531904	Mean reward: 16.8125	 Loss: 0.033718179911375046
Step: 1540096	Mean reward: 16.40625	 Loss: 0.11565414816141129
Step: 1548288	Mean reward: 16.25	 Loss: 0.010752247646450996
Step: 1556480	Mean reward: 16.90625	 Loss: 0.008738236501812935
Step: 1564672	Mean reward: 17.65625	 Loss: 0.025304876267910004
Step: 1572864	Mean reward: 17.8125	 Loss: 0.0976603701710701
Step: 1581056	Mean reward: 17.625	 Loss: 0.028513498604297638
Step: 1589248	Mean reward: 16.71875	 Loss: 0.0032310783863067627
Step: 1597440	Mean reward: 17.15625	 Loss: 0.00311342254281044
Step: 1605632	Mean reward: 18.8125	 Loss: 0.007018234580755234
Step: 1613824	Mean reward: 17.46875	 Loss: 0.05279035493731499
Step: 1622016	Mean reward: 17.0	 Loss: 0.02778840996325016
Step: 1630208	Mean reward: 17.375	 Loss: 0.030818253755569458
Step: 1638400	Mean reward: 16.96875	 Loss: 0.012602444738149643
Step: 1646592	Mean reward: 17.6875	 Loss: -0.03198189288377762
Step: 1654784	Mean reward: 18.46875	 Loss: -0.010629212483763695
Step: 1662976	Mean reward: 19.4375	 Loss: 0.037621527910232544
Step: 1671168	Mean reward: 17.78125	 Loss: 0.04178253188729286
Step: 1679360	Mean reward: 18.46875	 Loss: -0.03465139865875244
Step: 1687552	Mean reward: 17.78125	 Loss: -0.020881982520222664
Step: 1695744	Mean reward: 19.0625	 Loss: 0.0019113458693027496
Step: 1703936	Mean reward: 17.375	 Loss: -0.0012932103127241135
Step: 1712128	Mean reward: 17.84375	 Loss: -0.017770029604434967
Step: 1720320	Mean reward: 17.8125	 Loss: 0.08024168014526367
Step: 1728512	Mean reward: 18.59375	 Loss: -0.012254951521754265
Step: 1736704	Mean reward: 18.40625	 Loss: 0.10180000960826874
Step: 1744896	Mean reward: 19.1875	 Loss: -0.03081716224551201
Step: 1753088	Mean reward: 18.59375	 Loss: -0.027950603514909744
Step: 1761280	Mean reward: 19.125	 Loss: 0.022385654971003532
Step: 1769472	Mean reward: 20.03125	 Loss: -0.0486898198723793
Step: 1777664	Mean reward: 16.65625	 Loss: 0.050224900245666504
Step: 1785856	Mean reward: 16.875	 Loss: -0.051322393119335175
Step: 1794048	Mean reward: 16.4375	 Loss: -0.007596002891659737
Step: 1802240	Mean reward: 18.5625	 Loss: 0.06435526907444
Step: 1810432	Mean reward: 17.375	 Loss: 0.03605719655752182
Step: 1818624	Mean reward: 17.71875	 Loss: -0.039633817970752716
Step: 1826816	Mean reward: 18.875	 Loss: 0.03575244918465614
Step: 1835008	Mean reward: 20.125	 Loss: -0.014443624764680862
Step: 1843200	Mean reward: 16.65625	 Loss: 0.04247595742344856
Step: 1851392	Mean reward: 17.84375	 Loss: 0.017423929646611214
Step: 1859584	Mean reward: 18.90625	 Loss: 0.036321528255939484
Step: 1867776	Mean reward: 18.6875	 Loss: 0.015361025929450989
Step: 1875968	Mean reward: 19.40625	 Loss: 0.05238807946443558
Step: 1884160	Mean reward: 16.5625	 Loss: 0.010864119976758957
