Training IMPALA 2 with the following parameter dict:
{'total_steps': 8000000.0, 'num_envs': 32, 'num_steps': 256, 'num_levels': 200, 'num_epochs': 3, 'batch_size': 512, 'eps': 0.2, 'grad_eps': 0.5, 'value_coef': 0.5, 'entropy_coef': 0.01, 'c1': 0.5, 'c2': 0.01, 'num_actions': 15, 'in_channels': 3, 'feature_dim': 64, 'env_name': 'starpilot', 'use_background': False}
stabelized  impala
Observation space: Box([[[0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]
  ...
  [0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]]

 [[0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]
  ...
  [0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]]

 [[0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]
  ...
  [0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]]], [[[1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]
  ...
  [1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]]

 [[1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]
  ...
  [1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]]

 [[1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]
  ...
  [1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]]], (3, 64, 64), float32)
Action space: 15
Step: 8192	Mean reward: 3.6875	 Loss: 0.22620531916618347
Step: 16384	Mean reward: 4.25	 Loss: 0.10164384543895721
Step: 24576	Mean reward: 5.40625	 Loss: 0.06318745017051697
Step: 32768	Mean reward: 5.75	 Loss: 0.011451246216893196
Step: 40960	Mean reward: 6.125	 Loss: 0.03205119073390961
Step: 49152	Mean reward: 4.9375	 Loss: -0.0447118878364563
Step: 57344	Mean reward: 4.75	 Loss: -0.007952922955155373
Step: 65536	Mean reward: 7.40625	 Loss: 0.0013166721910238266
Step: 73728	Mean reward: 7.5625	 Loss: -0.02771781012415886
Step: 81920	Mean reward: 6.5	 Loss: -0.01630602963268757
Step: 90112	Mean reward: 6.5	 Loss: -0.07917365431785583
Step: 98304	Mean reward: 7.3125	 Loss: -0.024675404652953148
Step: 106496	Mean reward: 6.84375	 Loss: 0.03202524036169052
Step: 114688	Mean reward: 6.40625	 Loss: -0.1212119534611702
Step: 122880	Mean reward: 7.84375	 Loss: -0.024367650970816612
Step: 131072	Mean reward: 8.53125	 Loss: -0.06871145963668823
Step: 139264	Mean reward: 8.5625	 Loss: -0.05206888169050217
Step: 147456	Mean reward: 6.90625	 Loss: -0.08247274905443192
Step: 155648	Mean reward: 8.0	 Loss: -0.06420363485813141
Step: 163840	Mean reward: 6.625	 Loss: -0.10296110063791275
Step: 172032	Mean reward: 8.75	 Loss: -0.08132389187812805
Step: 180224	Mean reward: 8.625	 Loss: -0.11775627732276917
Step: 188416	Mean reward: 7.09375	 Loss: -0.08285156637430191
Step: 196608	Mean reward: 8.3125	 Loss: -0.09337171167135239
Step: 204800	Mean reward: 8.28125	 Loss: -0.135684072971344
Step: 212992	Mean reward: 8.5	 Loss: -0.08366948366165161
Step: 221184	Mean reward: 7.1875	 Loss: -0.16202442348003387
Step: 229376	Mean reward: 8.15625	 Loss: -0.07441756129264832
Step: 237568	Mean reward: 8.40625	 Loss: -0.023973340168595314
Step: 245760	Mean reward: 8.59375	 Loss: -0.1249641627073288
Step: 253952	Mean reward: 7.0	 Loss: -0.112038254737854
Step: 262144	Mean reward: 9.125	 Loss: -0.08132653683423996
Step: 270336	Mean reward: 9.28125	 Loss: -0.1162324994802475
Step: 278528	Mean reward: 8.375	 Loss: -0.03852633386850357
Step: 286720	Mean reward: 8.46875	 Loss: -0.15104453265666962
Step: 294912	Mean reward: 8.28125	 Loss: -0.14407823979854584
Step: 303104	Mean reward: 9.5	 Loss: -0.14437365531921387
Step: 311296	Mean reward: 9.09375	 Loss: -0.07634423673152924
Step: 319488	Mean reward: 8.0625	 Loss: -0.13026568293571472
Step: 327680	Mean reward: 7.6875	 Loss: -0.07201382517814636
Step: 335872	Mean reward: 8.34375	 Loss: -0.11706120520830154
Step: 344064	Mean reward: 8.03125	 Loss: -0.12845011055469513
Step: 352256	Mean reward: 8.90625	 Loss: -0.11440271884202957
Step: 360448	Mean reward: 8.34375	 Loss: -0.09696006029844284
Step: 368640	Mean reward: 10.90625	 Loss: -0.123856320977211
Step: 376832	Mean reward: 9.0	 Loss: -0.11713670194149017
Step: 385024	Mean reward: 9.0	 Loss: -0.0848211944103241
Step: 393216	Mean reward: 8.875	 Loss: -0.1093938946723938
Step: 401408	Mean reward: 10.21875	 Loss: -0.13629671931266785
Step: 409600	Mean reward: 8.8125	 Loss: -0.017547082155942917
Step: 417792	Mean reward: 8.6875	 Loss: -0.10456500202417374
Step: 425984	Mean reward: 9.3125	 Loss: -0.09977743029594421
Step: 434176	Mean reward: 8.78125	 Loss: -0.15352392196655273
Step: 442368	Mean reward: 9.84375	 Loss: -0.10843493044376373
Step: 450560	Mean reward: 8.53125	 Loss: -0.15293705463409424
Step: 458752	Mean reward: 9.03125	 Loss: -0.12708844244480133
Step: 466944	Mean reward: 8.34375	 Loss: -0.09995090961456299
Step: 475136	Mean reward: 9.4375	 Loss: -0.14806310832500458
Step: 483328	Mean reward: 9.625	 Loss: -0.12239165604114532
Step: 491520	Mean reward: 9.03125	 Loss: -0.06834638863801956
Step: 499712	Mean reward: 9.78125	 Loss: -0.1833496391773224
Step: 507904	Mean reward: 9.9375	 Loss: -0.05824361369013786
Step: 516096	Mean reward: 8.59375	 Loss: -0.10587021708488464
Step: 524288	Mean reward: 10.0	 Loss: -0.09613925218582153
Step: 532480	Mean reward: 9.4375	 Loss: -0.10498856008052826
Step: 540672	Mean reward: 8.96875	 Loss: -0.2275247871875763
Step: 548864	Mean reward: 8.90625	 Loss: -0.10408888757228851
Step: 557056	Mean reward: 9.625	 Loss: -0.19278542697429657
Step: 565248	Mean reward: 9.1875	 Loss: -0.05828483775258064
Step: 573440	Mean reward: 10.03125	 Loss: -0.21429333090782166
Step: 581632	Mean reward: 9.9375	 Loss: -0.12412814795970917
Step: 589824	Mean reward: 10.5	 Loss: -0.1284387707710266
Step: 598016	Mean reward: 11.75	 Loss: -0.09198816120624542
Step: 606208	Mean reward: 10.34375	 Loss: -0.1998661905527115
Step: 614400	Mean reward: 10.53125	 Loss: -0.07285666465759277
Step: 622592	Mean reward: 9.34375	 Loss: -0.09685269743204117
Step: 630784	Mean reward: 10.75	 Loss: -0.14281663298606873
Step: 638976	Mean reward: 9.1875	 Loss: -0.14172616600990295
Step: 647168	Mean reward: 10.6875	 Loss: -0.19230999052524567
Step: 655360	Mean reward: 10.40625	 Loss: -0.08942615985870361
Step: 663552	Mean reward: 9.75	 Loss: -0.1003352627158165
Step: 671744	Mean reward: 9.84375	 Loss: -0.11804267764091492
Step: 679936	Mean reward: 11.28125	 Loss: -0.10979600250720978
Step: 688128	Mean reward: 10.9375	 Loss: -0.07114571332931519
Step: 696320	Mean reward: 10.0	 Loss: -0.02986794151365757
Step: 704512	Mean reward: 10.90625	 Loss: -0.14068785309791565
Step: 712704	Mean reward: 11.09375	 Loss: -0.12584613263607025
Step: 720896	Mean reward: 10.21875	 Loss: -0.07089531421661377
Step: 729088	Mean reward: 9.46875	 Loss: -0.15242117643356323
Step: 737280	Mean reward: 9.75	 Loss: -0.14673608541488647
Step: 745472	Mean reward: 11.0	 Loss: -0.12388052046298981
Step: 753664	Mean reward: 9.9375	 Loss: -0.15305687487125397
Step: 761856	Mean reward: 10.8125	 Loss: -0.057693347334861755
Step: 770048	Mean reward: 12.3125	 Loss: -0.08001972734928131
Step: 778240	Mean reward: 11.5	 Loss: -0.08946458995342255
Step: 786432	Mean reward: 9.90625	 Loss: -0.210658460855484
Step: 794624	Mean reward: 10.4375	 Loss: -0.17568665742874146
Step: 802816	Mean reward: 9.40625	 Loss: -0.12139204144477844
Step: 811008	Mean reward: 11.9375	 Loss: -0.18815046548843384
Step: 819200	Mean reward: 10.28125	 Loss: -0.14121279120445251
Step: 827392	Mean reward: 11.34375	 Loss: -0.08974254131317139
Step: 835584	Mean reward: 10.65625	 Loss: -0.12300890684127808
Step: 843776	Mean reward: 10.75	 Loss: -0.14963752031326294
Step: 851968	Mean reward: 11.71875	 Loss: -0.06766112148761749
Step: 860160	Mean reward: 11.375	 Loss: -0.12344575673341751
Step: 868352	Mean reward: 10.03125	 Loss: -0.22674527764320374
Step: 876544	Mean reward: 10.8125	 Loss: -0.13022147119045258
Step: 884736	Mean reward: 12.125	 Loss: -0.1211264505982399
Step: 892928	Mean reward: 12.75	 Loss: -0.09333616495132446
Step: 901120	Mean reward: 10.65625	 Loss: -0.13202422857284546
Step: 909312	Mean reward: 11.65625	 Loss: -0.13679639995098114
Step: 917504	Mean reward: 10.53125	 Loss: -0.20619595050811768
Step: 925696	Mean reward: 10.0	 Loss: -0.1011848896741867
Step: 933888	Mean reward: 11.875	 Loss: -0.1269657164812088
Step: 942080	Mean reward: 11.28125	 Loss: -0.115298330783844
Step: 950272	Mean reward: 11.03125	 Loss: -0.1498573124408722
Step: 958464	Mean reward: 12.1875	 Loss: -0.07612421363592148
Step: 966656	Mean reward: 11.09375	 Loss: -0.07082448899745941
Step: 974848	Mean reward: 12.34375	 Loss: -0.07658851146697998
Step: 983040	Mean reward: 12.4375	 Loss: -0.14705833792686462
Step: 991232	Mean reward: 11.3125	 Loss: -0.05056851729750633
Step: 999424	Mean reward: 12.15625	 Loss: -0.08425748348236084
Step: 1007616	Mean reward: 12.0	 Loss: -0.04669862240552902
Step: 1015808	Mean reward: 11.40625	 Loss: -0.13741977512836456
Step: 1024000	Mean reward: 12.1875	 Loss: -0.1614968329668045
Step: 1032192	Mean reward: 11.03125	 Loss: -0.16923028230667114
Step: 1040384	Mean reward: 12.0625	 Loss: -0.1111677959561348
Step: 1048576	Mean reward: 13.0	 Loss: -0.1307075023651123
Step: 1056768	Mean reward: 11.28125	 Loss: -0.1032802164554596
Step: 1064960	Mean reward: 12.03125	 Loss: -0.07070614397525787
Step: 1073152	Mean reward: 10.53125	 Loss: -0.11342842131853104
Step: 1081344	Mean reward: 12.375	 Loss: -0.11757132411003113
Step: 1089536	Mean reward: 12.4375	 Loss: -0.14545370638370514
Step: 1097728	Mean reward: 11.21875	 Loss: -0.06686463952064514
Step: 1105920	Mean reward: 11.78125	 Loss: -0.1515926867723465
Step: 1114112	Mean reward: 11.53125	 Loss: -0.11360720545053482
Step: 1122304	Mean reward: 11.4375	 Loss: -0.03362389653921127
Step: 1130496	Mean reward: 11.875	 Loss: -0.11378621309995651
Step: 1138688	Mean reward: 12.5625	 Loss: -0.10537108778953552
Step: 1146880	Mean reward: 11.53125	 Loss: -0.08584074676036835
Step: 1155072	Mean reward: 13.03125	 Loss: -0.11831265687942505
Step: 1163264	Mean reward: 13.53125	 Loss: -0.15679369866847992
Step: 1171456	Mean reward: 11.84375	 Loss: -0.1171904131770134
Step: 1179648	Mean reward: 11.78125	 Loss: -0.15686585009098053
Step: 1187840	Mean reward: 12.09375	 Loss: -0.11488822102546692
Step: 1196032	Mean reward: 12.875	 Loss: -0.09419413655996323
Step: 1204224	Mean reward: 12.625	 Loss: -0.15062902867794037
Step: 1212416	Mean reward: 12.65625	 Loss: -0.11268782615661621
Step: 1220608	Mean reward: 12.875	 Loss: -0.1399761438369751
Step: 1228800	Mean reward: 13.15625	 Loss: -0.10668251663446426
Step: 1236992	Mean reward: 9.96875	 Loss: -0.1316998153924942
Step: 1245184	Mean reward: 12.65625	 Loss: -0.10997320711612701
Step: 1253376	Mean reward: 11.71875	 Loss: -0.02085624635219574
Step: 1261568	Mean reward: 11.59375	 Loss: -0.09123474359512329
Step: 1269760	Mean reward: 13.34375	 Loss: -0.12665972113609314
Step: 1277952	Mean reward: 11.0	 Loss: -0.12814243137836456
Step: 1286144	Mean reward: 11.34375	 Loss: -0.15003204345703125
Step: 1294336	Mean reward: 12.0625	 Loss: -0.08997959643602371
Step: 1302528	Mean reward: 12.15625	 Loss: -0.1940542459487915
Step: 1310720	Mean reward: 12.5625	 Loss: -0.10967973619699478
Step: 1318912	Mean reward: 11.375	 Loss: -0.11199764907360077
Step: 1327104	Mean reward: 11.96875	 Loss: -0.2064725160598755
Step: 1335296	Mean reward: 11.90625	 Loss: -0.16121716797351837
Step: 1343488	Mean reward: 12.9375	 Loss: -0.15480582416057587
Step: 1351680	Mean reward: 11.84375	 Loss: -0.0775924026966095
Step: 1359872	Mean reward: 10.78125	 Loss: -0.21840530633926392
Step: 1368064	Mean reward: 12.71875	 Loss: -0.09914381057024002
Step: 1376256	Mean reward: 12.625	 Loss: -0.18161410093307495
Step: 1384448	Mean reward: 12.28125	 Loss: -0.1507805585861206
Step: 1392640	Mean reward: 13.5	 Loss: -0.04000274837017059
Step: 1400832	Mean reward: 12.4375	 Loss: -0.09881715476512909
Step: 1409024	Mean reward: 12.875	 Loss: -0.11738664656877518
Step: 1417216	Mean reward: 12.65625	 Loss: -0.07826856523752213
Step: 1425408	Mean reward: 13.09375	 Loss: -0.023079421371221542
Step: 1433600	Mean reward: 12.40625	 Loss: -0.04945419356226921
Step: 1441792	Mean reward: 12.71875	 Loss: -0.09480885416269302
Step: 1449984	Mean reward: 12.84375	 Loss: -0.10119875520467758
Step: 1458176	Mean reward: 12.875	 Loss: -0.12972572445869446
Step: 1466368	Mean reward: 13.75	 Loss: -0.0830509215593338
Step: 1474560	Mean reward: 13.65625	 Loss: -0.07960926741361618
Step: 1482752	Mean reward: 10.71875	 Loss: -0.16801846027374268
Step: 1490944	Mean reward: 13.875	 Loss: -0.07568936794996262
Step: 1499136	Mean reward: 14.0	 Loss: -0.09419877827167511
Step: 1507328	Mean reward: 12.78125	 Loss: -0.1293330192565918
Step: 1515520	Mean reward: 12.84375	 Loss: -0.09581448137760162
Step: 1523712	Mean reward: 13.0625	 Loss: -0.13378101587295532
Step: 1531904	Mean reward: 12.90625	 Loss: -0.04745916277170181
Step: 1540096	Mean reward: 12.75	 Loss: -0.06625143438577652
Step: 1548288	Mean reward: 12.59375	 Loss: -0.0737951323390007
Step: 1556480	Mean reward: 12.875	 Loss: -0.06799539178609848
Step: 1564672	Mean reward: 13.8125	 Loss: -0.04327470436692238
Step: 1572864	Mean reward: 13.0	 Loss: -0.11323601752519608
Step: 1581056	Mean reward: 12.65625	 Loss: -0.11409975588321686
Step: 1589248	Mean reward: 11.90625	 Loss: -0.08637629449367523
Step: 1597440	Mean reward: 14.5	 Loss: -0.12677963078022003
Step: 1605632	Mean reward: 13.375	 Loss: -0.05529405176639557
Step: 1613824	Mean reward: 13.0	 Loss: -0.10524483025074005
Step: 1622016	Mean reward: 13.9375	 Loss: -0.10182121396064758
Step: 1630208	Mean reward: 13.90625	 Loss: -0.18260981142520905
Step: 1638400	Mean reward: 12.78125	 Loss: -0.07676912844181061
Step: 1646592	Mean reward: 12.96875	 Loss: -0.11605876684188843
Step: 1654784	Mean reward: 13.0625	 Loss: -0.08903226256370544
Step: 1662976	Mean reward: 14.46875	 Loss: -0.10797332227230072
Step: 1671168	Mean reward: 12.9375	 Loss: -0.08234725147485733
Step: 1679360	Mean reward: 14.5	 Loss: -0.10911710560321808
Step: 1687552	Mean reward: 14.125	 Loss: -0.08485280722379684
Step: 1695744	Mean reward: 13.46875	 Loss: -0.14647409319877625
Step: 1703936	Mean reward: 13.46875	 Loss: -0.0808136984705925
Step: 1712128	Mean reward: 14.875	 Loss: -0.0985967144370079
Step: 1720320	Mean reward: 14.0	 Loss: -0.021457010880112648
Step: 1728512	Mean reward: 12.25	 Loss: -0.1448526531457901
Step: 1736704	Mean reward: 14.0625	 Loss: -0.07193617522716522
Step: 1744896	Mean reward: 14.375	 Loss: -0.16889221966266632
Step: 1753088	Mean reward: 13.9375	 Loss: -0.09308106452226639
Step: 1761280	Mean reward: 14.25	 Loss: -0.022455185651779175
Step: 1769472	Mean reward: 13.4375	 Loss: -0.12448257952928543
Step: 1777664	Mean reward: 13.25	 Loss: -0.08447849750518799
Step: 1785856	Mean reward: 14.34375	 Loss: -0.11145468801259995
Step: 1794048	Mean reward: 13.375	 Loss: -0.09457080811262131
Step: 1802240	Mean reward: 13.65625	 Loss: -0.09269596636295319
Step: 1810432	Mean reward: 12.09375	 Loss: -0.14079590141773224
Step: 1818624	Mean reward: 14.59375	 Loss: -0.12613072991371155
Step: 1826816	Mean reward: 12.75	 Loss: -0.06537678837776184
Step: 1835008	Mean reward: 13.625	 Loss: -0.014522548764944077
Step: 1843200	Mean reward: 14.6875	 Loss: -0.02539445087313652
Step: 1851392	Mean reward: 14.71875	 Loss: -0.19866743683815002
Step: 1859584	Mean reward: 13.75	 Loss: -0.1681506186723709
Step: 1867776	Mean reward: 13.28125	 Loss: -0.10538353025913239
Step: 1875968	Mean reward: 12.53125	 Loss: -0.04696342349052429
Step: 1884160	Mean reward: 11.96875	 Loss: -0.20557796955108643
Step: 1892352	Mean reward: 14.25	 Loss: -0.19323132932186127
Step: 1900544	Mean reward: 13.75	 Loss: -0.05343518406152725
Step: 1908736	Mean reward: 12.5625	 Loss: -0.06940105557441711
Step: 1916928	Mean reward: 14.375	 Loss: -0.004678044468164444
Step: 1925120	Mean reward: 14.84375	 Loss: -0.12508636713027954
Step: 1933312	Mean reward: 14.84375	 Loss: -0.008016956970095634
Step: 1941504	Mean reward: 12.125	 Loss: -0.07093878090381622
Step: 1949696	Mean reward: 13.15625	 Loss: -0.1086069643497467
Step: 1957888	Mean reward: 12.28125	 Loss: -0.10786455869674683
Step: 1966080	Mean reward: 14.34375	 Loss: -0.11693979799747467
Step: 1974272	Mean reward: 13.78125	 Loss: -0.08182525634765625
Step: 1982464	Mean reward: 15.375	 Loss: -0.0699252262711525
Step: 1990656	Mean reward: 13.75	 Loss: -0.09790298342704773
Step: 1998848	Mean reward: 13.4375	 Loss: -0.0641319528222084
Step: 2007040	Mean reward: 14.78125	 Loss: -0.1325974315404892
Step: 2015232	Mean reward: 14.34375	 Loss: -0.08140642940998077
Step: 2023424	Mean reward: 13.15625	 Loss: -0.043461691588163376
Step: 2031616	Mean reward: 14.4375	 Loss: -0.09836985170841217
Step: 2039808	Mean reward: 14.15625	 Loss: -0.1156512051820755
Step: 2048000	Mean reward: 12.125	 Loss: -0.12650775909423828
Step: 2056192	Mean reward: 13.875	 Loss: -0.10293149948120117
Step: 2064384	Mean reward: 12.96875	 Loss: -0.0942852646112442
Step: 2072576	Mean reward: 13.75	 Loss: -0.11051810532808304
Step: 2080768	Mean reward: 14.625	 Loss: -0.08741108328104019
Step: 2088960	Mean reward: 13.96875	 Loss: -0.05702914297580719
Step: 2097152	Mean reward: 15.75	 Loss: -0.08310611546039581
Step: 2105344	Mean reward: 15.46875	 Loss: -0.0756089985370636
Step: 2113536	Mean reward: 14.53125	 Loss: 0.03799671679735184
Step: 2121728	Mean reward: 14.03125	 Loss: -0.11051397025585175
Step: 2129920	Mean reward: 15.28125	 Loss: -0.06960899382829666
Step: 2138112	Mean reward: 13.875	 Loss: -0.09813939779996872
Step: 2146304	Mean reward: 13.46875	 Loss: -0.053858157247304916
Step: 2154496	Mean reward: 14.09375	 Loss: -0.06202039122581482
Step: 2162688	Mean reward: 14.4375	 Loss: -0.112026147544384
Step: 2170880	Mean reward: 14.4375	 Loss: -0.14311203360557556
Step: 2179072	Mean reward: 14.34375	 Loss: -0.07528172433376312
Step: 2187264	Mean reward: 13.71875	 Loss: -0.12763118743896484
Step: 2195456	Mean reward: 13.28125	 Loss: -0.17433148622512817
Step: 2203648	Mean reward: 13.90625	 Loss: -0.0943969339132309
Step: 2211840	Mean reward: 14.03125	 Loss: -0.008449923247098923
Step: 2220032	Mean reward: 15.625	 Loss: -0.1766873449087143
Step: 2228224	Mean reward: 14.46875	 Loss: -0.04006468877196312
Step: 2236416	Mean reward: 13.8125	 Loss: -0.011089334264397621
Step: 2244608	Mean reward: 14.46875	 Loss: -0.17300347983837128
Step: 2252800	Mean reward: 14.0625	 Loss: -0.08394812047481537
Step: 2260992	Mean reward: 13.6875	 Loss: -0.003068098798394203
Step: 2269184	Mean reward: 14.5	 Loss: -0.054631516337394714
Step: 2277376	Mean reward: 16.125	 Loss: -0.09220840036869049
Step: 2285568	Mean reward: 14.0	 Loss: -0.07265303283929825
Step: 2293760	Mean reward: 14.4375	 Loss: -0.11145542562007904
Step: 2301952	Mean reward: 15.0625	 Loss: -0.057227686047554016
Step: 2310144	Mean reward: 15.3125	 Loss: -0.0823705717921257
Step: 2318336	Mean reward: 14.40625	 Loss: -0.04457710683345795
Step: 2326528	Mean reward: 14.90625	 Loss: -0.09257923066616058
Step: 2334720	Mean reward: 14.65625	 Loss: -0.14970223605632782
Step: 2342912	Mean reward: 14.0625	 Loss: -0.06175276264548302
Step: 2351104	Mean reward: 15.59375	 Loss: -0.1507038027048111
Step: 2359296	Mean reward: 14.875	 Loss: -0.11969689279794693
Step: 2367488	Mean reward: 14.8125	 Loss: -0.08365292847156525
Step: 2375680	Mean reward: 14.03125	 Loss: -0.07901415228843689
Step: 2383872	Mean reward: 16.15625	 Loss: -0.13076737523078918
Step: 2392064	Mean reward: 15.59375	 Loss: -0.018884513527154922
Step: 2400256	Mean reward: 14.75	 Loss: -0.08906672894954681
Step: 2408448	Mean reward: 15.5	 Loss: -0.08279610425233841
Step: 2416640	Mean reward: 15.625	 Loss: -0.02494693547487259
Step: 2424832	Mean reward: 14.6875	 Loss: -0.12125375866889954
Step: 2433024	Mean reward: 13.34375	 Loss: -0.0960020124912262
Step: 2441216	Mean reward: 14.75	 Loss: -0.02218986675143242
Step: 2449408	Mean reward: 15.1875	 Loss: -0.22971628606319427
Step: 2457600	Mean reward: 13.53125	 Loss: -0.09148265421390533
Step: 2465792	Mean reward: 14.4375	 Loss: -0.11425842344760895
Step: 2473984	Mean reward: 13.90625	 Loss: -0.1101054847240448
Step: 2482176	Mean reward: 14.53125	 Loss: -0.18705879151821136
Step: 2490368	Mean reward: 14.0	 Loss: -0.11052190512418747
Step: 2498560	Mean reward: 15.0625	 Loss: 0.012193760834634304
Step: 2506752	Mean reward: 13.8125	 Loss: -0.052395690232515335
Step: 2514944	Mean reward: 14.90625	 Loss: -0.09499909728765488
Step: 2523136	Mean reward: 14.34375	 Loss: -0.15256617963314056
Step: 2531328	Mean reward: 14.9375	 Loss: -0.08999767154455185
Step: 2539520	Mean reward: 14.21875	 Loss: -0.11525361239910126
Step: 2547712	Mean reward: 14.03125	 Loss: -0.09455623477697372
Step: 2555904	Mean reward: 12.84375	 Loss: -0.08677230030298233
Step: 2564096	Mean reward: 13.78125	 Loss: -0.08450619131326675
Step: 2572288	Mean reward: 13.375	 Loss: -0.12892784178256989
Step: 2580480	Mean reward: 13.125	 Loss: -0.0407339408993721
Step: 2588672	Mean reward: 13.375	 Loss: -0.07520485669374466
Step: 2596864	Mean reward: 15.59375	 Loss: -0.0055037131533026695
Step: 2605056	Mean reward: 13.5	 Loss: -0.05038371682167053
Step: 2613248	Mean reward: 13.96875	 Loss: -0.08944642543792725
Step: 2621440	Mean reward: 12.53125	 Loss: -0.14418114721775055
Step: 2629632	Mean reward: 14.65625	 Loss: -0.04808005690574646
Step: 2637824	Mean reward: 15.0625	 Loss: -0.09638384729623795
Step: 2646016	Mean reward: 15.03125	 Loss: -0.07983724772930145
Step: 2654208	Mean reward: 14.53125	 Loss: -0.08831579983234406
Step: 2662400	Mean reward: 15.5625	 Loss: -0.14270111918449402
Step: 2670592	Mean reward: 13.65625	 Loss: -0.06096067279577255
Step: 2678784	Mean reward: 14.46875	 Loss: -0.10764533281326294
Step: 2686976	Mean reward: 13.9375	 Loss: -0.060950085520744324
Step: 2695168	Mean reward: 14.8125	 Loss: -0.0294518880546093
Step: 2703360	Mean reward: 15.25	 Loss: -0.11154979467391968
Step: 2711552	Mean reward: 14.09375	 Loss: -0.05535176396369934
Step: 2719744	Mean reward: 13.3125	 Loss: -0.048812657594680786
Step: 2727936	Mean reward: 14.0625	 Loss: -0.007289673201739788
Step: 2736128	Mean reward: 13.625	 Loss: -0.06471922993659973
Step: 2744320	Mean reward: 13.46875	 Loss: -0.07893815636634827
Step: 2752512	Mean reward: 13.03125	 Loss: -0.10223903506994247
Step: 2760704	Mean reward: 14.0	 Loss: -0.07252215594053268
Step: 2768896	Mean reward: 15.71875	 Loss: -0.07644172757863998
Step: 2777088	Mean reward: 15.25	 Loss: -0.09146573394536972
Step: 2785280	Mean reward: 13.875	 Loss: -0.025042032822966576
Step: 2793472	Mean reward: 12.59375	 Loss: -0.12513227760791779
Step: 2801664	Mean reward: 14.3125	 Loss: -0.1753198802471161
Step: 2809856	Mean reward: 16.0625	 Loss: -0.05155348777770996
Step: 2818048	Mean reward: 15.3125	 Loss: -0.14480648934841156
Step: 2826240	Mean reward: 13.4375	 Loss: -0.15494270622730255
Step: 2834432	Mean reward: 14.65625	 Loss: -0.1032344400882721
Step: 2842624	Mean reward: 14.375	 Loss: -0.08467549085617065
Step: 2850816	Mean reward: 13.46875	 Loss: -0.053611189126968384
Step: 2859008	Mean reward: 15.1875	 Loss: -0.05768106132745743
Step: 2867200	Mean reward: 14.5	 Loss: -0.10576656460762024
Step: 2875392	Mean reward: 15.3125	 Loss: -0.08714832365512848
Step: 2883584	Mean reward: 14.8125	 Loss: -0.06531167030334473
Step: 2891776	Mean reward: 14.5625	 Loss: -0.13975641131401062
Step: 2899968	Mean reward: 14.6875	 Loss: -0.0018886150792241096
Step: 2908160	Mean reward: 15.28125	 Loss: -0.02633480355143547
Step: 2916352	Mean reward: 14.40625	 Loss: -0.05390557274222374
Step: 2924544	Mean reward: 14.90625	 Loss: -0.01897151954472065
Step: 2932736	Mean reward: 14.6875	 Loss: -0.003081272356212139
Step: 2940928	Mean reward: 14.09375	 Loss: -0.12404105812311172
Step: 2949120	Mean reward: 14.625	 Loss: -0.07291765511035919
Step: 2957312	Mean reward: 14.59375	 Loss: -0.028082633391022682
Step: 2965504	Mean reward: 14.28125	 Loss: -0.07391117513179779
