Observation space: Box([[[0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]
  ...
  [0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]]

 [[0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]
  ...
  [0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]]

 [[0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]
  ...
  [0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]]], [[[1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]
  ...
  [1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]]

 [[1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]
  ...
  [1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]]

 [[1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]
  ...
  [1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]]], (3, 64, 64), float32)
Action space: 15
Step: 8192	Mean reward: 4.84375	 Loss: 0.3435838520526886
Step: 16384	Mean reward: 4.34375	 Loss: 0.03775801882147789
Step: 24576	Mean reward: 4.71875	 Loss: 0.04969719797372818
Step: 32768	Mean reward: 5.375	 Loss: 0.04840880632400513
Step: 40960	Mean reward: 6.625	 Loss: 0.04280620068311691
Step: 49152	Mean reward: 5.625	 Loss: 0.007894027978181839
Step: 57344	Mean reward: 6.3125	 Loss: 0.03924644738435745
Step: 65536	Mean reward: 7.4375	 Loss: 0.023107819259166718
Step: 73728	Mean reward: 5.375	 Loss: 0.01689114235341549
Step: 81920	Mean reward: 7.0625	 Loss: 0.02506500668823719
Step: 90112	Mean reward: 6.8125	 Loss: -0.013701237738132477
Step: 98304	Mean reward: 6.9375	 Loss: 0.03166757524013519
Step: 106496	Mean reward: 7.03125	 Loss: 0.005101596936583519
Step: 114688	Mean reward: 6.46875	 Loss: -0.0334993377327919
Step: 122880	Mean reward: 8.25	 Loss: 0.047980405390262604
Step: 131072	Mean reward: 8.75	 Loss: 0.05981094762682915
Step: 139264	Mean reward: 7.625	 Loss: 0.027667945250868797
Step: 147456	Mean reward: 7.90625	 Loss: 0.01976228691637516
Step: 155648	Mean reward: 8.46875	 Loss: -0.017360953614115715
Step: 163840	Mean reward: 8.84375	 Loss: 0.04257199913263321
Step: 172032	Mean reward: 8.40625	 Loss: -0.041351139545440674
Step: 180224	Mean reward: 9.0625	 Loss: -0.04921655356884003
Step: 188416	Mean reward: 9.5	 Loss: 0.054264068603515625
Step: 196608	Mean reward: 8.15625	 Loss: -0.04256520792841911
Step: 204800	Mean reward: 7.9375	 Loss: 0.03450528159737587
Step: 212992	Mean reward: 8.03125	 Loss: 0.03141158074140549
Step: 221184	Mean reward: 8.65625	 Loss: 0.01914754882454872
Step: 229376	Mean reward: 8.4375	 Loss: -0.05677371472120285
Step: 237568	Mean reward: 7.59375	 Loss: 0.031911060214042664
Step: 245760	Mean reward: 7.84375	 Loss: 0.0675230324268341
Step: 253952	Mean reward: 9.375	 Loss: 0.0003546271473169327
Step: 262144	Mean reward: 9.125	 Loss: 0.03713107854127884
Step: 270336	Mean reward: 8.375	 Loss: -0.013659017160534859
Step: 278528	Mean reward: 8.5625	 Loss: 9.950250387191772e-06
