Training IMPALA 1 with the following parameter dict:
{'total_steps': 3000000.0, 'num_envs': 32, 'num_steps': 256, 'num_levels': 200, 'num_epochs': 3, 'batch_size': 512, 'eps': 0.2, 'grad_eps': 0.5, 'value_coef': 0.5, 'entropy_coef': 0.01, 'c1': 0.5, 'c2': 0.01, 'num_actions': 15, 'in_channels': 3, 'feature_dim': 64, 'env_name': 'starpilot', 'use_background': False}
non stabilized impala with resets
200 levels
Observation space: Box([[[0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]
  ...
  [0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]]

 [[0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]
  ...
  [0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]]

 [[0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]
  ...
  [0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]]], [[[1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]
  ...
  [1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]]

 [[1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]
  ...
  [1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]]

 [[1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]
  ...
  [1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]]], (3, 64, 64), float32)
Action space: 15
Step: 8192	Mean reward: 4.03125	 Loss: 0.20342236757278442
Step: 16384	Mean reward: 4.1875	 Loss: 0.05674628168344498
Step: 24576	Mean reward: 6.1875	 Loss: 0.055468350648880005
Step: 32768	Mean reward: 5.46875	 Loss: 0.03154774755239487
Step: 40960	Mean reward: 5.84375	 Loss: -0.008883507922291756
Step: 49152	Mean reward: 6.5	 Loss: -0.0430632084608078
Step: 57344	Mean reward: 6.3125	 Loss: 0.0061764102429151535
Step: 65536	Mean reward: 6.9375	 Loss: 0.08997905999422073
Step: 73728	Mean reward: 5.8125	 Loss: 0.045946985483169556
Step: 81920	Mean reward: 8.03125	 Loss: 0.028604280203580856
Step: 90112	Mean reward: 8.09375	 Loss: -0.009251682087779045
Step: 98304	Mean reward: 7.3125	 Loss: 0.008523404598236084
Step: 106496	Mean reward: 7.96875	 Loss: -0.020957618951797485
Step: 114688	Mean reward: 7.5	 Loss: 0.0065986961126327515
Step: 122880	Mean reward: 7.0	 Loss: 0.00952373631298542
Step: 131072	Mean reward: 8.1875	 Loss: 0.10968350619077682
Step: 139264	Mean reward: 9.0	 Loss: -0.03510574996471405
Step: 147456	Mean reward: 10.25	 Loss: 0.011466963216662407
Step: 155648	Mean reward: 9.0	 Loss: 0.0607670322060585
Step: 163840	Mean reward: 7.375	 Loss: -0.017700806260108948
Step: 172032	Mean reward: 8.875	 Loss: -0.07000540941953659
Step: 180224	Mean reward: 8.8125	 Loss: -0.01369444839656353
Step: 188416	Mean reward: 9.21875	 Loss: -0.0027633439749479294
Step: 196608	Mean reward: 9.71875	 Loss: 0.08122184127569199
Step: 204800	Mean reward: 8.5	 Loss: -0.00215156190097332
Step: 212992	Mean reward: 9.25	 Loss: -0.07501880079507828
Step: 221184	Mean reward: 8.1875	 Loss: -0.07105821371078491
Step: 229376	Mean reward: 8.46875	 Loss: -0.05502405762672424
Step: 237568	Mean reward: 9.3125	 Loss: 0.027163734659552574
Step: 245760	Mean reward: 10.375	 Loss: -0.052657343447208405
Step: 253952	Mean reward: 9.40625	 Loss: -0.03274432569742203
Step: 262144	Mean reward: 8.125	 Loss: -0.023372292518615723
Step: 270336	Mean reward: 9.375	 Loss: 0.036022648215293884
Step: 278528	Mean reward: 11.03125	 Loss: 0.06688355654478073
Step: 286720	Mean reward: 9.84375	 Loss: -0.026935918256640434
Step: 294912	Mean reward: 9.84375	 Loss: 0.08237389475107193
Step: 303104	Mean reward: 8.5625	 Loss: 0.0486011877655983
Step: 311296	Mean reward: 11.34375	 Loss: 0.00956728681921959
Step: 319488	Mean reward: 9.75	 Loss: 0.02946014329791069
Step: 327680	Mean reward: 10.125	 Loss: -0.03473004698753357
Step: 335872	Mean reward: 9.53125	 Loss: -0.01792002096772194
Step: 344064	Mean reward: 11.3125	 Loss: -0.03558634966611862
Step: 352256	Mean reward: 10.15625	 Loss: 0.011292686685919762
Step: 360448	Mean reward: 9.15625	 Loss: -0.036103010177612305
Step: 368640	Mean reward: 10.34375	 Loss: -0.04926280677318573
Step: 376832	Mean reward: 10.28125	 Loss: -0.0482340045273304
Step: 385024	Mean reward: 10.0	 Loss: -0.06699053943157196
Step: 393216	Mean reward: 10.0	 Loss: 0.017598990350961685
Step: 401408	Mean reward: 10.65625	 Loss: -0.030692318454384804
Step: 409600	Mean reward: 10.28125	 Loss: -0.018144380301237106
Step: 417792	Mean reward: 9.78125	 Loss: -0.027003034949302673
Step: 425984	Mean reward: 9.65625	 Loss: 0.011996889486908913
Step: 434176	Mean reward: 10.5625	 Loss: -0.037047721445560455
Step: 442368	Mean reward: 10.3125	 Loss: -0.019715115427970886
Step: 450560	Mean reward: 10.625	 Loss: 0.0713202953338623
Step: 458752	Mean reward: 10.125	 Loss: -0.08636385202407837
Step: 466944	Mean reward: 10.40625	 Loss: -0.030085688456892967
Step: 475136	Mean reward: 10.5	 Loss: -0.08077223598957062
Step: 483328	Mean reward: 10.0625	 Loss: -0.001957746222615242
Step: 491520	Mean reward: 10.65625	 Loss: -0.03701756149530411
Step: 499712	Mean reward: 11.09375	 Loss: -0.10831276327371597
Step: 507904	Mean reward: 10.15625	 Loss: -0.05727311223745346
Step: 516096	Mean reward: 10.625	 Loss: -0.08259592950344086
