Training IMPALA 1 with the following parameter dict:
{'total_steps': 3000000.0, 'num_envs': 32, 'num_steps': 256, 'num_levels': 200, 'num_epochs': 3, 'batch_size': 512, 'eps': 0.2, 'grad_eps': 0.5, 'value_coef': 0.5, 'entropy_coef': 0.01, 'c1': 0.5, 'c2': 0.01, 'num_actions': 15, 'in_channels': 3, 'feature_dim': 64, 'env_name': 'starpilot', 'use_background': False}
non stabilized impala with resets
Observation space: Box([[[0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]
  ...
  [0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]]

 [[0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]
  ...
  [0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]]

 [[0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]
  ...
  [0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]]], [[[1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]
  ...
  [1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]]

 [[1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]
  ...
  [1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]]

 [[1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]
  ...
  [1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]]], (3, 64, 64), float32)
Action space: 15
Step: 8192	Mean reward: 4.875	 Loss: 0.288455992937088
Step: 16384	Mean reward: 5.09375	 Loss: 0.03878476470708847
Step: 24576	Mean reward: 5.09375	 Loss: 0.05013849586248398
Step: 32768	Mean reward: 4.84375	 Loss: -0.040087029337882996
Step: 40960	Mean reward: 6.5	 Loss: 0.025590447708964348
Step: 49152	Mean reward: 5.9375	 Loss: -0.021197348833084106
Step: 57344	Mean reward: 6.1875	 Loss: -0.010326189920306206
Step: 65536	Mean reward: 7.15625	 Loss: 0.013012593612074852
Step: 73728	Mean reward: 6.5625	 Loss: 0.06394580751657486
Step: 81920	Mean reward: 7.75	 Loss: -0.012480393052101135
Step: 90112	Mean reward: 8.71875	 Loss: 0.005981463938951492
Step: 98304	Mean reward: 6.5	 Loss: -0.024940647184848785
Step: 106496	Mean reward: 9.0	 Loss: 0.01243165135383606
Step: 114688	Mean reward: 7.84375	 Loss: 0.03944779932498932
Step: 122880	Mean reward: 7.21875	 Loss: 0.03391680866479874
Step: 131072	Mean reward: 7.75	 Loss: 0.036410678178071976
Step: 139264	Mean reward: 8.375	 Loss: -0.07668406516313553
Step: 147456	Mean reward: 8.78125	 Loss: -0.05908941477537155
Step: 155648	Mean reward: 9.5625	 Loss: -0.09426093846559525
Step: 163840	Mean reward: 9.09375	 Loss: -0.1040804460644722
Step: 172032	Mean reward: 9.125	 Loss: -0.11247152090072632
Step: 180224	Mean reward: 9.65625	 Loss: -0.09031016379594803
Step: 188416	Mean reward: 9.65625	 Loss: -0.024921899661421776
Step: 196608	Mean reward: 9.15625	 Loss: -0.025495581328868866
Step: 204800	Mean reward: 8.5625	 Loss: -0.03008451871573925
Step: 212992	Mean reward: 9.25	 Loss: -0.08322076499462128
Step: 221184	Mean reward: 10.15625	 Loss: -0.1566234976053238
Step: 229376	Mean reward: 9.125	 Loss: -0.09317485988140106
Step: 237568	Mean reward: 10.4375	 Loss: -0.05974607914686203
Step: 245760	Mean reward: 9.59375	 Loss: -0.15300647914409637
Step: 253952	Mean reward: 11.34375	 Loss: -0.01571248285472393
Step: 262144	Mean reward: 9.8125	 Loss: -0.11145473271608353
Step: 270336	Mean reward: 10.375	 Loss: -0.1025448739528656
Step: 278528	Mean reward: 10.125	 Loss: -0.1307966113090515
Step: 286720	Mean reward: 10.875	 Loss: -0.09773862361907959
Step: 294912	Mean reward: 9.9375	 Loss: -0.003425970673561096
Step: 303104	Mean reward: 10.625	 Loss: -0.1590326577425003
Step: 311296	Mean reward: 10.875	 Loss: -0.05411110818386078
Step: 319488	Mean reward: 10.53125	 Loss: -0.12077376246452332
Step: 327680	Mean reward: 10.25	 Loss: -0.05986238270998001
Step: 335872	Mean reward: 9.65625	 Loss: -0.10895784199237823
Step: 344064	Mean reward: 9.0625	 Loss: -0.08963464200496674
Step: 352256	Mean reward: 9.4375	 Loss: -0.14961613714694977
Step: 360448	Mean reward: 10.8125	 Loss: -0.06142265349626541
Step: 368640	Mean reward: 10.90625	 Loss: -0.03964964300394058
Step: 376832	Mean reward: 10.5625	 Loss: -0.08753403276205063
Step: 385024	Mean reward: 11.09375	 Loss: -0.08078069984912872
Step: 393216	Mean reward: 11.59375	 Loss: -0.07500752806663513
Step: 401408	Mean reward: 11.0	 Loss: -0.11898979544639587
Step: 409600	Mean reward: 12.625	 Loss: -0.1245608925819397
Step: 417792	Mean reward: 11.625	 Loss: -0.10315200686454773
Step: 425984	Mean reward: 10.625	 Loss: -0.09499970078468323
Step: 434176	Mean reward: 10.875	 Loss: -0.1477501094341278
Step: 442368	Mean reward: 11.0	 Loss: -0.11383610218763351
Step: 450560	Mean reward: 11.6875	 Loss: -0.08643514662981033
Step: 458752	Mean reward: 12.4375	 Loss: -0.08218157291412354
Step: 466944	Mean reward: 13.4375	 Loss: -0.0551280602812767
Step: 475136	Mean reward: 10.3125	 Loss: -0.07420702278614044
Step: 483328	Mean reward: 12.09375	 Loss: -0.0783567726612091
Step: 491520	Mean reward: 11.65625	 Loss: -0.057561442255973816
Step: 499712	Mean reward: 11.28125	 Loss: -0.08571399003267288
Step: 507904	Mean reward: 11.0	 Loss: -0.04514322429895401
Step: 516096	Mean reward: 10.65625	 Loss: -0.1346663534641266
Step: 524288	Mean reward: 12.5625	 Loss: 0.01650085672736168
Step: 532480	Mean reward: 12.875	 Loss: -0.07702465355396271
Step: 540672	Mean reward: 12.1875	 Loss: -0.03829500451683998
Step: 548864	Mean reward: 11.96875	 Loss: -0.059405483305454254
Step: 557056	Mean reward: 13.15625	 Loss: -0.09323863685131073
Step: 565248	Mean reward: 11.0625	 Loss: -0.09236929565668106
Step: 573440	Mean reward: 12.34375	 Loss: -0.11938692629337311
Step: 581632	Mean reward: 12.375	 Loss: -0.10937701910734177
Step: 589824	Mean reward: 12.6875	 Loss: -0.16522002220153809
Step: 598016	Mean reward: 13.96875	 Loss: -0.11888480931520462
Step: 606208	Mean reward: 13.21875	 Loss: -0.08172448724508286
Step: 614400	Mean reward: 11.875	 Loss: -0.06493691354990005
Step: 622592	Mean reward: 12.625	 Loss: -0.16629758477210999
Step: 630784	Mean reward: 12.46875	 Loss: -0.07697388529777527
Step: 638976	Mean reward: 13.125	 Loss: -0.06968937069177628
Step: 647168	Mean reward: 13.21875	 Loss: -0.0035194717347621918
Step: 655360	Mean reward: 13.5	 Loss: -0.03576899692416191
Step: 663552	Mean reward: 14.5	 Loss: -0.017288025468587875
Step: 671744	Mean reward: 11.625	 Loss: -0.05531610548496246
Step: 679936	Mean reward: 13.21875	 Loss: -0.05262349545955658
Step: 688128	Mean reward: 13.40625	 Loss: -0.10651569068431854
Step: 696320	Mean reward: 12.40625	 Loss: -0.046426475048065186
Step: 704512	Mean reward: 13.21875	 Loss: -0.05691096931695938
Step: 712704	Mean reward: 12.875	 Loss: -0.11277934163808823
Step: 720896	Mean reward: 12.8125	 Loss: -0.13487538695335388
Step: 729088	Mean reward: 13.1875	 Loss: -0.078488789498806
Step: 737280	Mean reward: 13.34375	 Loss: -0.20709532499313354
Step: 745472	Mean reward: 13.03125	 Loss: -0.03880290314555168
Step: 753664	Mean reward: 14.0625	 Loss: -0.09196853637695312
Step: 761856	Mean reward: 14.96875	 Loss: -0.05501879006624222
Step: 770048	Mean reward: 14.21875	 Loss: -0.04446117579936981
Step: 778240	Mean reward: 13.5625	 Loss: -0.10373957455158234
Step: 786432	Mean reward: 12.59375	 Loss: -0.026858968660235405
Step: 794624	Mean reward: 12.28125	 Loss: -0.026147881522774696
Step: 802816	Mean reward: 15.03125	 Loss: -0.0165402889251709
Step: 811008	Mean reward: 13.96875	 Loss: -0.09110239148139954
Step: 819200	Mean reward: 13.40625	 Loss: -0.043668944388628006
Step: 827392	Mean reward: 13.21875	 Loss: -0.11909711360931396
Step: 835584	Mean reward: 13.21875	 Loss: -0.13549843430519104
Step: 843776	Mean reward: 13.25	 Loss: -0.1355244517326355
Step: 851968	Mean reward: 13.6875	 Loss: -0.0914333164691925
Step: 860160	Mean reward: 14.84375	 Loss: -0.1316765397787094
Step: 868352	Mean reward: 14.3125	 Loss: -0.07631886750459671
Step: 876544	Mean reward: 13.21875	 Loss: -0.10856170952320099
Step: 884736	Mean reward: 13.46875	 Loss: -0.1363150030374527
Step: 892928	Mean reward: 12.5625	 Loss: -0.1393396258354187
Step: 901120	Mean reward: 14.28125	 Loss: -0.13027043640613556
Step: 909312	Mean reward: 13.28125	 Loss: -0.09489848464727402
Step: 917504	Mean reward: 13.28125	 Loss: -0.11328839510679245
Step: 925696	Mean reward: 12.90625	 Loss: -0.15825344622135162
Step: 933888	Mean reward: 13.65625	 Loss: -0.06558255851268768
Step: 942080	Mean reward: 13.6875	 Loss: -0.09652484953403473
Step: 950272	Mean reward: 13.375	 Loss: -0.0807836651802063
Step: 958464	Mean reward: 14.28125	 Loss: -0.1413833498954773
Step: 966656	Mean reward: 12.6875	 Loss: -0.009941300377249718
Step: 974848	Mean reward: 15.375	 Loss: -0.137124702334404
Step: 983040	Mean reward: 14.40625	 Loss: -0.02500876970589161
Step: 991232	Mean reward: 13.78125	 Loss: -0.03746669739484787
Step: 999424	Mean reward: 13.0625	 Loss: -0.0807192325592041
Step: 1007616	Mean reward: 14.40625	 Loss: -0.15086640417575836
Step: 1015808	Mean reward: 12.25	 Loss: -0.0737561285495758
Step: 1024000	Mean reward: 13.03125	 Loss: -0.09412238001823425
Step: 1032192	Mean reward: 13.15625	 Loss: -0.09359213709831238
Step: 1040384	Mean reward: 13.3125	 Loss: 0.013406900689005852
Step: 1048576	Mean reward: 11.21875	 Loss: -0.09847904741764069
Step: 1056768	Mean reward: 13.84375	 Loss: -0.11788468062877655
Step: 1064960	Mean reward: 13.46875	 Loss: -0.09901345521211624
Step: 1073152	Mean reward: 15.03125	 Loss: -0.07458899915218353
Step: 1081344	Mean reward: 13.0	 Loss: -0.12062671780586243
Step: 1089536	Mean reward: 14.5	 Loss: -0.05991489440202713
Step: 1097728	Mean reward: 14.0625	 Loss: -0.0711255893111229
Step: 1105920	Mean reward: 14.71875	 Loss: -0.0006256308406591415
Step: 1114112	Mean reward: 14.90625	 Loss: -0.08081308007240295
Step: 1122304	Mean reward: 15.21875	 Loss: -0.07065664976835251
Step: 1130496	Mean reward: 13.40625	 Loss: -0.1362629234790802
Step: 1138688	Mean reward: 13.78125	 Loss: -0.0629398375749588
Step: 1146880	Mean reward: 13.75	 Loss: -0.050160713493824005
Step: 1155072	Mean reward: 14.84375	 Loss: -0.043800756335258484
Step: 1163264	Mean reward: 14.40625	 Loss: -0.056588925421237946
Step: 1171456	Mean reward: 15.21875	 Loss: -0.10267272591590881
Step: 1179648	Mean reward: 15.0625	 Loss: -0.11619710922241211
Step: 1187840	Mean reward: 15.0625	 Loss: -0.11909665912389755
Step: 1196032	Mean reward: 12.5625	 Loss: -0.021801607683300972
Step: 1204224	Mean reward: 13.9375	 Loss: -0.097965769469738
Step: 1212416	Mean reward: 16.46875	 Loss: -0.1612759679555893
Step: 1220608	Mean reward: 14.4375	 Loss: -0.12424512952566147
Step: 1228800	Mean reward: 12.46875	 Loss: -0.009945961646735668
Step: 1236992	Mean reward: 15.34375	 Loss: -0.06509087979793549
Step: 1245184	Mean reward: 14.90625	 Loss: -0.04842700436711311
Step: 1253376	Mean reward: 14.15625	 Loss: -0.027728639543056488
Step: 1261568	Mean reward: 14.0	 Loss: 0.030379680916666985
Step: 1269760	Mean reward: 14.75	 Loss: -0.030546363443136215
Step: 1277952	Mean reward: 15.25	 Loss: -0.058945998549461365
