Observation space: Box([[[0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]
  ...
  [0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]]

 [[0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]
  ...
  [0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]]

 [[0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]
  ...
  [0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]]], [[[1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]
  ...
  [1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]]

 [[1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]
  ...
  [1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]]

 [[1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]
  ...
  [1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]]], (3, 64, 64), float32)
Action space: 15
Step: 8192	Mean reward: 4.75	 Loss: 0.5003340244293213
Step: 16384	Mean reward: 4.34375	 Loss: 0.04218012094497681
Step: 24576	Mean reward: 5.1875	 Loss: 0.13311073184013367
Step: 32768	Mean reward: 5.9375	 Loss: 0.06034761667251587
Step: 40960	Mean reward: 6.03125	 Loss: 0.09559893608093262
Step: 49152	Mean reward: 6.53125	 Loss: 0.14069752395153046
Step: 57344	Mean reward: 6.3125	 Loss: 0.1155548244714737
Step: 65536	Mean reward: 6.78125	 Loss: 0.08495111763477325
Step: 73728	Mean reward: 5.75	 Loss: 0.11291638016700745
Step: 81920	Mean reward: 6.25	 Loss: 0.06258402019739151
Step: 90112	Mean reward: 6.46875	 Loss: 0.05614127963781357
Step: 98304	Mean reward: 5.59375	 Loss: 0.02204391174018383
Step: 106496	Mean reward: 6.78125	 Loss: 0.035571757704019547
Step: 114688	Mean reward: 7.875	 Loss: 0.0721021369099617
Step: 122880	Mean reward: 8.03125	 Loss: 0.04869241639971733
Step: 131072	Mean reward: 7.4375	 Loss: 0.09618605673313141
Step: 139264	Mean reward: 8.34375	 Loss: 0.1565270870923996
Step: 147456	Mean reward: 7.5625	 Loss: 0.08223789930343628
Step: 155648	Mean reward: 7.03125	 Loss: 0.01184363104403019
Step: 163840	Mean reward: 8.4375	 Loss: 0.036115944385528564
Step: 172032	Mean reward: 8.71875	 Loss: 0.03719668090343475
Step: 180224	Mean reward: 6.5625	 Loss: 0.0810602456331253
Step: 188416	Mean reward: 7.5625	 Loss: 0.03271746262907982
Step: 196608	Mean reward: 7.5625	 Loss: 0.061211295425891876
Step: 204800	Mean reward: 7.625	 Loss: 0.11633278429508209
Step: 212992	Mean reward: 7.71875	 Loss: 0.08380391448736191
Step: 221184	Mean reward: 7.3125	 Loss: 0.05596189200878143
Step: 229376	Mean reward: 7.1875	 Loss: -0.01159052923321724
