Training PPO 1 with the following parameter dict:
{'total_steps': 9000000.0, 'num_envs': 32, 'num_steps': 256, 'num_levels': 200, 'num_epochs': 3, 'batch_size': 512, 'eps': 0.2, 'grad_eps': 0.5, 'value_coef': 0.5, 'entropy_coef': 0.01, 'c1': 0.5, 'c2': 0.01, 'num_actions': 15, 'in_channels': 3, 'feature_dim': 64, 'env_name': 'starpilot', 'use_background': False}
non stabilized ppo
Observation space: Box([[[0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]
  ...
  [0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]]

 [[0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]
  ...
  [0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]]

 [[0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]
  ...
  [0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]]], [[[1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]
  ...
  [1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]]

 [[1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]
  ...
  [1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]]

 [[1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]
  ...
  [1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]]], (3, 64, 64), float32)
Action space: 15
Step: 8192	Mean reward: 4.78125	 Loss: 0.5423773527145386
Step: 16384	Mean reward: 5.1875	 Loss: 0.12098409980535507
Step: 24576	Mean reward: 4.40625	 Loss: 0.06328962743282318
Step: 32768	Mean reward: 5.5625	 Loss: 0.11765236407518387
Step: 40960	Mean reward: 5.90625	 Loss: 0.06701008230447769
Step: 49152	Mean reward: 5.96875	 Loss: 0.14258843660354614
Step: 57344	Mean reward: 6.5	 Loss: 0.055588264018297195
Step: 65536	Mean reward: 6.875	 Loss: 0.07098381221294403
Step: 73728	Mean reward: 7.625	 Loss: 0.17620468139648438
Step: 81920	Mean reward: 6.28125	 Loss: 0.09151194989681244
Step: 90112	Mean reward: 8.5625	 Loss: 0.11701125651597977
Step: 98304	Mean reward: 8.34375	 Loss: 0.17740225791931152
Step: 106496	Mean reward: 6.71875	 Loss: 0.06654095649719238
Step: 114688	Mean reward: 9.34375	 Loss: 0.0923207551240921
Step: 122880	Mean reward: 6.5625	 Loss: 0.03683182969689369
Step: 131072	Mean reward: 6.90625	 Loss: -0.03127829730510712
Step: 139264	Mean reward: 8.25	 Loss: 0.08645347505807877
Step: 147456	Mean reward: 9.6875	 Loss: 0.0499703623354435
Step: 155648	Mean reward: 8.65625	 Loss: 0.04381372034549713
Step: 163840	Mean reward: 8.59375	 Loss: 0.04975922778248787
Step: 172032	Mean reward: 10.375	 Loss: 0.05087337642908096
Step: 180224	Mean reward: 9.75	 Loss: 0.10120031237602234
Step: 188416	Mean reward: 10.5625	 Loss: 0.04170936346054077
Step: 196608	Mean reward: 9.75	 Loss: 0.008315738290548325
Step: 204800	Mean reward: 10.09375	 Loss: 0.1369074583053589
Step: 212992	Mean reward: 9.4375	 Loss: 0.01792842335999012
Step: 221184	Mean reward: 11.46875	 Loss: 0.05964606627821922
Step: 229376	Mean reward: 11.5625	 Loss: 0.001109914854168892
Step: 237568	Mean reward: 11.0	 Loss: 0.11305240541696548
Step: 245760	Mean reward: 8.78125	 Loss: 0.03335706889629364
Step: 253952	Mean reward: 11.8125	 Loss: 0.05116262286901474
Step: 262144	Mean reward: 11.625	 Loss: 0.09468933194875717
Step: 270336	Mean reward: 10.09375	 Loss: 0.071913942694664
Step: 278528	Mean reward: 10.5625	 Loss: -0.07038557529449463
Step: 286720	Mean reward: 11.75	 Loss: 0.07841013371944427
Step: 294912	Mean reward: 11.5	 Loss: 0.058098047971725464
Step: 303104	Mean reward: 11.84375	 Loss: 0.19050173461437225
Step: 311296	Mean reward: 11.40625	 Loss: 0.01034747064113617
Step: 319488	Mean reward: 12.34375	 Loss: 0.07366622239351273
Step: 327680	Mean reward: 11.8125	 Loss: 0.14489270746707916
Step: 335872	Mean reward: 12.75	 Loss: 0.05795622617006302
Step: 344064	Mean reward: 11.84375	 Loss: 0.054879747331142426
Step: 352256	Mean reward: 11.5625	 Loss: -0.028391601517796516
Step: 360448	Mean reward: 12.0625	 Loss: 0.0960288941860199
Step: 368640	Mean reward: 11.96875	 Loss: 0.009405519813299179
Step: 376832	Mean reward: 11.9375	 Loss: 0.10772906243801117
Step: 385024	Mean reward: 13.0625	 Loss: 0.056413836777210236
Step: 393216	Mean reward: 12.90625	 Loss: 0.033929288387298584
Step: 401408	Mean reward: 12.09375	 Loss: -0.011884758248925209
Step: 409600	Mean reward: 12.59375	 Loss: -0.010100871324539185
Step: 417792	Mean reward: 12.84375	 Loss: 0.04039755463600159
Step: 425984	Mean reward: 13.8125	 Loss: 0.1129738911986351
Step: 434176	Mean reward: 12.625	 Loss: 0.02683304063975811
Step: 442368	Mean reward: 11.71875	 Loss: 0.0823049545288086
Step: 450560	Mean reward: 12.65625	 Loss: 0.052937597036361694
Step: 458752	Mean reward: 12.6875	 Loss: 0.11370686441659927
Step: 466944	Mean reward: 13.6875	 Loss: 0.037474147975444794
Step: 475136	Mean reward: 13.40625	 Loss: -0.006035082042217255
Step: 483328	Mean reward: 13.84375	 Loss: 0.10233813524246216
Step: 491520	Mean reward: 13.84375	 Loss: -0.0015066564083099365
Step: 499712	Mean reward: 14.25	 Loss: 0.039325881749391556
Step: 507904	Mean reward: 14.8125	 Loss: 0.05816817283630371
Step: 516096	Mean reward: 13.625	 Loss: 0.13571913540363312
Step: 524288	Mean reward: 13.75	 Loss: 0.04409497231245041
Step: 532480	Mean reward: 14.3125	 Loss: 0.031028935685753822
Step: 540672	Mean reward: 13.25	 Loss: 0.009544119238853455
Step: 548864	Mean reward: 14.3125	 Loss: -0.06547911465167999
Step: 557056	Mean reward: 15.1875	 Loss: -0.043709203600883484
Step: 565248	Mean reward: 13.90625	 Loss: 0.020580098032951355
Step: 573440	Mean reward: 14.5	 Loss: 0.10621123015880585
Step: 581632	Mean reward: 14.03125	 Loss: 2.95247882604599e-05
Step: 589824	Mean reward: 14.625	 Loss: -0.006386203691363335
Step: 598016	Mean reward: 14.34375	 Loss: 0.07141923904418945
Step: 606208	Mean reward: 15.1875	 Loss: 0.10825417190790176
Step: 614400	Mean reward: 13.96875	 Loss: -0.029107781127095222
Step: 622592	Mean reward: 13.875	 Loss: -0.0011935736984014511
Step: 630784	Mean reward: 14.28125	 Loss: 0.03281324356794357
Step: 638976	Mean reward: 14.34375	 Loss: 0.08548832684755325
Step: 647168	Mean reward: 14.375	 Loss: 0.07881394028663635
Step: 655360	Mean reward: 15.1875	 Loss: 0.11063924431800842
Step: 663552	Mean reward: 14.9375	 Loss: -0.0006932150572538376
Step: 671744	Mean reward: 15.625	 Loss: 0.03892067074775696
Step: 679936	Mean reward: 14.0	 Loss: 0.02714671567082405
Step: 688128	Mean reward: 15.21875	 Loss: 0.009772686287760735
Step: 696320	Mean reward: 14.3125	 Loss: -0.003082364797592163
Step: 704512	Mean reward: 15.4375	 Loss: 0.0726262554526329
Step: 712704	Mean reward: 14.3125	 Loss: -0.005935022607445717
Step: 720896	Mean reward: 14.40625	 Loss: 0.050757523626089096
Step: 729088	Mean reward: 15.53125	 Loss: 0.04875238984823227
Step: 737280	Mean reward: 14.625	 Loss: 0.024960622191429138
Step: 745472	Mean reward: 16.125	 Loss: 0.05688001215457916
Step: 753664	Mean reward: 14.8125	 Loss: 0.08062906563282013
Step: 761856	Mean reward: 14.375	 Loss: 0.0492142029106617
Step: 770048	Mean reward: 14.78125	 Loss: -0.027636820450425148
Step: 778240	Mean reward: 15.53125	 Loss: 0.04181565344333649
Step: 786432	Mean reward: 16.5625	 Loss: 0.07396246492862701
Step: 794624	Mean reward: 15.75	 Loss: 0.0783802941441536
Step: 802816	Mean reward: 14.71875	 Loss: 0.0667511373758316
Step: 811008	Mean reward: 14.71875	 Loss: 0.03526376560330391
Step: 819200	Mean reward: 16.34375	 Loss: 0.06634799391031265
