Training PPO 1 with the following parameter dict:
{'total_steps': 3000000.0, 'num_envs': 32, 'num_steps': 256, 'num_levels': 200, 'num_epochs': 3, 'batch_size': 512, 'eps': 0.2, 'grad_eps': 0.5, 'value_coef': 0.5, 'entropy_coef': 0.01, 'c1': 0.5, 'c2': 0.01, 'num_actions': 15, 'in_channels': 3, 'feature_dim': 64, 'env_name': 'starpilot', 'use_background': False}
non stabilized ppo with resets
Observation space: Box([[[0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]
  ...
  [0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]]

 [[0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]
  ...
  [0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]]

 [[0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]
  ...
  [0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]
  [0. 0. 0. ... 0. 0. 0.]]], [[[1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]
  ...
  [1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]]

 [[1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]
  ...
  [1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]]

 [[1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]
  ...
  [1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]
  [1. 1. 1. ... 1. 1. 1.]]], (3, 64, 64), float32)
Action space: 15
Step: 8192	Mean reward: 4.71875	 Loss: 0.5278168320655823
Step: 16384	Mean reward: 4.90625	 Loss: 0.12344583123922348
Step: 24576	Mean reward: 4.65625	 Loss: 0.053092293441295624
Step: 32768	Mean reward: 6.3125	 Loss: 0.09125111252069473
Step: 40960	Mean reward: 5.96875	 Loss: 0.08010037243366241
Step: 49152	Mean reward: 5.96875	 Loss: 0.12412601709365845
Step: 57344	Mean reward: 6.5625	 Loss: 0.04191309213638306
Step: 65536	Mean reward: 6.4375	 Loss: 0.06149224936962128
Step: 73728	Mean reward: 7.4375	 Loss: 0.044560134410858154
Step: 81920	Mean reward: 7.625	 Loss: 0.12600794434547424
Step: 90112	Mean reward: 8.34375	 Loss: 0.0024505946785211563
Step: 98304	Mean reward: 8.0625	 Loss: 0.07422689348459244
Step: 106496	Mean reward: 8.15625	 Loss: 0.07297765463590622
Step: 114688	Mean reward: 7.28125	 Loss: 0.1000211089849472
Step: 122880	Mean reward: 7.90625	 Loss: 0.04487404227256775
Step: 131072	Mean reward: 8.53125	 Loss: 0.046597640961408615
Step: 139264	Mean reward: 6.90625	 Loss: 0.07083293050527573
Step: 147456	Mean reward: 8.59375	 Loss: 0.08027344197034836
Step: 155648	Mean reward: 9.34375	 Loss: 0.026638807728886604
Step: 163840	Mean reward: 8.34375	 Loss: 0.013203125447034836
Step: 172032	Mean reward: 7.6875	 Loss: 0.024128112941980362
Step: 180224	Mean reward: 8.8125	 Loss: 0.06615589559078217
Step: 188416	Mean reward: 10.125	 Loss: -0.012007350102066994
Step: 196608	Mean reward: 9.96875	 Loss: 0.11123930662870407
Step: 204800	Mean reward: 10.5	 Loss: 0.0987970158457756
Step: 212992	Mean reward: 8.78125	 Loss: 0.01991840824484825
Step: 221184	Mean reward: 9.15625	 Loss: 0.06815608590841293
Step: 229376	Mean reward: 10.28125	 Loss: 0.04649268835783005
Step: 237568	Mean reward: 10.21875	 Loss: 0.07432757318019867
Step: 245760	Mean reward: 8.6875	 Loss: 0.06712689250707626
Step: 253952	Mean reward: 10.1875	 Loss: 0.050896499305963516
Step: 262144	Mean reward: 10.28125	 Loss: 0.06365707516670227
Step: 270336	Mean reward: 10.78125	 Loss: -0.029366441071033478
Step: 278528	Mean reward: 10.53125	 Loss: -0.01009506918489933
Step: 286720	Mean reward: 10.625	 Loss: 0.09784679114818573
Step: 294912	Mean reward: 11.59375	 Loss: 0.029407357797026634
Step: 303104	Mean reward: 11.125	 Loss: 0.02131483145058155
Step: 311296	Mean reward: 11.59375	 Loss: -0.005929229781031609
Step: 319488	Mean reward: 9.875	 Loss: 0.05407625064253807
